tof posE posN posU tgtE tgtN tgtU
0.001 0.0640655 0.0640515 0.338072 10625 0 10625
0.002 0.128142 0.1281 0.676143 10625 0 10625
0.003 0.19223 0.192146 1.01421 10625 0 10625
0.004 0.256329 0.256188 1.35228 10625 0 10625
0.005 0.320439 0.320228 1.69035 10625 0 10625
0.006 0.38456 0.384265 2.02841 10625 0 10625
0.007 0.448692 0.448298 2.36648 10625 0 10625
0.008 0.512835 0.512329 2.70454 10625 0 10625
0.009 0.576989 0.576357 3.0426 10625 0 10625
0.01 0.641155 0.640382 3.38066 10625 0 10625
0.011 0.705331 0.704404 3.71871 10625 0 10625
0.012 0.769519 0.768423 4.05677 10625 0 10625
0.013 0.833718 0.832439 4.39482 10625 0 10625
0.014 0.897927 0.896452 4.73287 10625 0 10625
0.015 0.962148 0.960462 5.07093 10625 0 10625
0.016 1.02638 1.02447 5.40897 10625 0 10625
0.017 1.09062 1.08847 5.74702 10625 0 10625
0.018 1.15488 1.15247 6.08507 10625 0 10625
0.019 1.21914 1.21647 6.42311 10625 0 10625
0.02 1.28342 1.28047 6.76116 10625 0 10625
0.021 1.34771 1.34446 7.0992 10625 0 10625
0.022 1.41201 1.40845 7.43724 10625 0 10625
0.023 1.47631 1.47244 7.77528 10625 0 10625
0.024 1.54064 1.53642 8.11331 10625 0 10625
0.025 1.60497 1.6004 8.45135 10625 0 10625
0.026 1.66931 1.66438 8.78938 10625 0 10625
0.027 1.73366 1.72835 9.12741 10625 0 10625
0.028 1.79803 1.79232 9.46545 10625 0 10625
0.029 1.86241 1.85629 9.80347 10625 0 10625
0.03 1.92679 1.92026 10.1415 10625 0 10625
0.031 1.99119 1.98422 10.4795 10625 0 10625
0.032 2.0556 2.04818 10.8176 10625 0 10625
0.033 2.12002 2.11214 11.1556 10625 0 10625
0.034 2.18445 2.17609 11.4936 10625 0 10625
0.035 2.2489 2.24004 11.8316 10625 0 10625
0.036 2.31335 2.30399 12.1696 10625 0 10625
0.037 2.37781 2.36794 12.5077 10625 0 10625
0.038 2.44229 2.43188 12.8457 10625 0 10625
0.039 2.50678 2.49582 13.1837 10625 0 10625
0.04 2.57128 2.55975 13.5217 10625 0 10625
0.041 2.63579 2.62369 13.8597 10625 0 10625
0.042 2.70031 2.68762 14.1977 10625 0 10625
0.043 2.76484 2.75155 14.5357 10625 0 10625
0.044 2.82938 2.81547 14.8737 10625 0 10625
0.045 2.89393 2.87939 15.2117 10625 0 10625
0.046 2.9585 2.94331 15.5497 10625 0 10625
0.047 3.02307 3.00722 15.8877 10625 0 10625
0.048 3.08766 3.07114 16.2257 10625 0 10625
0.049 3.15226 3.13505 16.5637 10625 0 10625
0.05 3.21687 3.19895 16.9017 10625 0 10625
0.051 3.28149 3.26286 17.2397 10625 0 10625
0.052 3.34612 3.32676 17.5777 10625 0 10625
0.053 3.41076 3.39066 17.9157 10625 0 10625
0.054 3.47542 3.45455 18.2537 10625 0 10625
0.055 3.54008 3.51844 18.5917 10625 0 10625
0.056 3.60476 3.58233 18.9297 10625 0 10625
0.057 3.66944 3.64622 19.2677 10625 0 10625
0.058 3.73414 3.7101 19.6056 10625 0 10625
0.059 3.79885 3.77398 19.9436 10625 0 10625
0.06 3.86357 3.83786 20.2816 10625 0 10625
0.061 3.9283 3.90173 20.6196 10625 0 10625
0.062 3.99305 3.9656 20.9576 10625 0 10625
0.063 4.0578 4.02947 21.2955 10625 0 10625
0.064 4.12256 4.09334 21.6335 10625 0 10625
0.065 4.18734 4.1572 21.9715 10625 0 10625
0.066 4.25213 4.22106 22.3095 10625 0 10625
0.067 4.31692 4.28491 22.6474 10625 0 10625
0.068 4.38173 4.34877 22.9854 10625 0 10625
0.069 4.44655 4.41262 23.3234 10625 0 10625
0.07 4.51138 4.47646 23.6613 10625 0 10625
0.071 4.57623 4.54031 23.9993 10625 0 10625
0.072 4.64108 4.60415 24.3373 10625 0 10625
0.073 4.70594 4.66799 24.6752 10625 0 10625
0.074 4.77082 4.73182 25.0132 10625 0 10625
0.075 4.83571 4.79566 25.3511 10625 0 10625
0.076 4.9006 4.85949 25.6891 10625 0 10625
0.077 4.96551 4.92331 26.027 10625 0 10625
0.078 5.03043 4.98714 26.365 10625 0 10625
0.079 5.09536 5.05096 26.7029 10625 0 10625
0.08 5.16031 5.11478 27.0409 10625 0 10625
0.081 5.22526 5.17859 27.3788 10625 0 10625
0.082 5.29022 5.2424 27.7168 10625 0 10625
0.083 5.3552 5.30621 28.0547 10625 0 10625
0.084 5.42018 5.37002 28.3927 10625 0 10625
0.085 5.48518 5.43382 28.7306 10625 0 10625
0.086 5.55019 5.49762 29.0686 10625 0 10625
0.087 5.61521 5.56142 29.4065 10625 0 10625
0.088 5.68024 5.62521 29.7444 10625 0 10625
0.089 5.74528 5.689 30.0824 10625 0 10625
0.09 5.81034 5.75279 30.4203 10625 0 10625
0.091 5.8754 5.81658 30.7582 10625 0 10625
0.092 5.94048 5.88036 31.0962 10625 0 10625
0.093 6.00556 5.94414 31.4341 10625 0 10625
0.094 6.07066 6.00791 31.772 10625 0 10625
0.095 6.13577 6.07169 32.1099 10625 0 10625
0.096 6.20089 6.13546 32.4479 10625 0 10625
0.097 6.26602 6.19923 32.7858 10625 0 10625
0.098 6.33116 6.26299 33.1237 10625 0 10625
0.099 6.39631 6.32675 33.4616 10625 0 10625
0.1 6.46148 6.39051 33.7996 10625 0 10625
0.101 6.52665 6.45427 34.1375 10625 0 10625
0.102 6.59184 6.51802 34.4754 10625 0 10625
0.103 6.65704 6.58177 34.8133 10625 0 10625
0.104 6.72224 6.64552 35.1512 10625 0 10625
0.105 6.78746 6.70926 35.4891 10625 0 10625
0.106 6.85269 6.773 35.827 10625 0 10625
0.107 6.91794 6.83674 36.1649 10625 0 10625
0.108 6.98319 6.90047 36.5028 10625 0 10625
0.109 7.04845 6.9642 36.8407 10625 0 10625
0.11 7.11373 7.02793 37.1786 10625 0 10625
0.111 7.17901 7.09166 37.5165 10625 0 10625
0.112 7.24431 7.15538 37.8544 10625 0 10625
0.113 7.30962 7.2191 38.1923 10625 0 10625
0.114 7.37494 7.28282 38.5302 10625 0 10625
0.115 7.44027 7.34653 38.8681 10625 0 10625
0.116 7.50561 7.41025 39.206 10625 0 10625
0.117 7.57096 7.47395 39.5439 10625 0 10625
0.118 7.63633 7.53766 39.8818 10625 0 10625
0.119 7.7017 7.60136 40.2197 10625 0 10625
0.12 7.76709 7.66506 40.5576 10625 0 10625
0.121 7.83248 7.72876 40.8955 10625 0 10625
0.122 7.89789 7.79245 41.2333 10625 0 10625
0.123 7.96331 7.85614 41.5712 10625 0 10625
0.124 8.02874 7.91983 41.9091 10625 0 10625
0.125 8.09418 7.98351 42.247 10625 0 10625
0.126 8.15964 8.04719 42.5849 10625 0 10625
0.127 8.2251 8.11087 42.9227 10625 0 10625
