tof posE posN posU tgtE tgtN tgtU
0.001 0.0640659 0.0640514 0.338072 10312.5 0 10312.5
0.002 0.128143 0.1281 0.676143 10312.5 0 10312.5
0.003 0.192232 0.192145 1.01421 10312.5 0 10312.5
0.004 0.256332 0.256187 1.35228 10312.5 0 10312.5
0.005 0.320444 0.320227 1.69035 10312.5 0 10312.5
0.006 0.384567 0.384263 2.02841 10312.5 0 10312.5
0.007 0.448701 0.448296 2.36647 10312.5 0 10312.5
0.008 0.512847 0.512326 2.70454 10312.5 0 10312.5
0.009 0.577004 0.576353 3.04259 10312.5 0 10312.5
0.01 0.641173 0.640377 3.38065 10312.5 0 10312.5
0.011 0.705353 0.704398 3.71871 10312.5 0 10312.5
0.012 0.769545 0.768416 4.05676 10312.5 0 10312.5
0.013 0.833748 0.832431 4.39482 10312.5 0 10312.5
0.014 0.897963 0.896443 4.73287 10312.5 0 10312.5
0.015 0.962189 0.960451 5.07092 10312.5 0 10312.5
0.016 1.02643 1.02446 5.40897 10312.5 0 10312.5
0.017 1.09067 1.08846 5.74702 10312.5 0 10312.5
0.018 1.15493 1.15246 6.08506 10312.5 0 10312.5
0.019 1.21921 1.21646 6.4231 10312.5 0 10312.5
0.02 1.28349 1.28045 6.76115 10312.5 0 10312.5
0.021 1.34778 1.34444 7.09919 10312.5 0 10312.5
0.022 1.41209 1.40843 7.43723 10312.5 0 10312.5
0.023 1.47641 1.47241 7.77526 10312.5 0 10312.5
0.024 1.54074 1.53639 8.1133 10312.5 0 10312.5
0.025 1.60508 1.60037 8.45133 10312.5 0 10312.5
0.026 1.66943 1.66435 8.78937 10312.5 0 10312.5
0.027 1.73379 1.72832 9.1274 10312.5 0 10312.5
0.028 1.79817 1.79229 9.46543 10312.5 0 10312.5
0.029 1.86255 1.85625 9.80345 10312.5 0 10312.5
0.03 1.92695 1.92022 10.1415 10312.5 0 10312.5
0.031 1.99136 1.98418 10.4795 10312.5 0 10312.5
0.032 2.05578 2.04813 10.8175 10312.5 0 10312.5
0.033 2.12021 2.11209 11.1555 10312.5 0 10312.5
0.034 2.18465 2.17604 11.4936 10312.5 0 10312.5
0.035 2.24911 2.23999 11.8316 10312.5 0 10312.5
0.036 2.31357 2.30393 12.1696 10312.5 0 10312.5
0.037 2.37805 2.36787 12.5076 10312.5 0 10312.5
0.038 2.44254 2.43181 12.8456 10312.5 0 10312.5
0.039 2.50704 2.49575 13.1836 10312.5 0 10312.5
0.04 2.57155 2.55968 13.5217 10312.5 0 10312.5
0.041 2.63608 2.62361 13.8597 10312.5 0 10312.5
0.042 2.70061 2.68754 14.1977 10312.5 0 10312.5
0.043 2.76516 2.75146 14.5357 10312.5 0 10312.5
0.044 2.82971 2.81538 14.8737 10312.5 0 10312.5
0.045 2.89428 2.8793 15.2117 10312.5 0 10312.5
0.046 2.95886 2.94321 15.5497 10312.5 0 10312.5
0.047 3.02345 3.00712 15.8877 10312.5 0 10312.5
0.048 3.08806 3.07103 16.2257 10312.5 0 10312.5
0.049 3.15267 3.13494 16.5637 10312.5 0 10312.5
0.05 3.2173 3.19884 16.9017 10312.5 0 10312.5
0.051 3.28194 3.26274 17.2397 10312.5 0 10312.5
0.052 3.34658 3.32663 17.5777 10312.5 0 10312.5
0.053 3.41124 3.39053 17.9156 10312.5 0 10312.5
0.054 3.47592 3.45442 18.2536 10312.5 0 10312.5
0.055 3.5406 3.5183 18.5916 10312.5 0 10312.5
0.056 3.60529 3.58219 18.9296 10312.5 0 10312.5
0.057 3.67 3.64607 19.2676 10312.5 0 10312.5
0.058 3.73472 3.70995 19.6056 10312.5 0 10312.5
0.059 3.79945 3.77382 19.9435 10312.5 0 10312.5
0.06 3.86419 3.83769 20.2815 10312.5 0 10312.5
0.061 3.92894 3.90156 20.6195 10312.5 0 10312.5
0.062 3.9937 3.96543 20.9575 10312.5 0 10312.5
0.063 4.05848 4.02929 21.2954 10312.5 0 10312.5
0.064 4.12326 4.09315 21.6334 10312.5 0 10312.5
0.065 4.18806 4.15701 21.9714 10312.5 0 10312.5
0.066 4.25287 4.22086 22.3094 10312.5 0 10312.5
0.067 4.31769 4.28471 22.6473 10312.5 0 10312.5
0.068 4.38252 4.34856 22.9853 10312.5 0 10312.5
0.069 4.44736 4.4124 23.3232 10312.5 0 10312.5
