tof posE posN posU tgtE tgtN tgtU
0.001 0.0640657 0.0640515 0.338072 10507.9 0 10507.9
0.002 0.128143 0.1281 0.676143 10507.9 0 10507.9
0.003 0.192231 0.192145 1.01421 10507.9 0 10507.9
0.004 0.25633 0.256188 1.35228 10507.9 0 10507.9
0.005 0.320441 0.320227 1.69035 10507.9 0 10507.9
0.006 0.384562 0.384264 2.02841 10507.9 0 10507.9
0.007 0.448695 0.448297 2.36647 10507.9 0 10507.9
0.008 0.512839 0.512328 2.70454 10507.9 0 10507.9
0.009 0.576995 0.576356 3.0426 10507.9 0 10507.9
0.01 0.641162 0.64038 3.38065 10507.9 0 10507.9
0.011 0.705339 0.704402 3.71871 10507.9 0 10507.9
0.012 0.769528 0.76842 4.05677 10507.9 0 10507.9
0.013 0.833729 0.832436 4.39482 10507.9 0 10507.9
0.014 0.89794 0.896449 4.73287 10507.9 0 10507.9
0.015 0.962163 0.960458 5.07092 10507.9 0 10507.9
0.016 1.0264 1.02446 5.40897 10507.9 0 10507.9
0.017 1.09064 1.08847 5.74702 10507.9 0 10507.9
0.018 1.1549 1.15247 6.08507 10507.9 0 10507.9
0.019 1.21917 1.21647 6.42311 10507.9 0 10507.9
0.02 1.28344 1.28046 6.76115 10507.9 0 10507.9
0.021 1.34774 1.34445 7.09919 10507.9 0 10507.9
0.022 1.41204 1.40844 7.43723 10507.9 0 10507.9
0.023 1.47635 1.47243 7.77527 10507.9 0 10507.9
0.024 1.54067 1.53641 8.11331 10507.9 0 10507.9
0.025 1.60501 1.60039 8.45134 10507.9 0 10507.9
0.026 1.66935 1.66437 8.78938 10507.9 0 10507.9
0.027 1.73371 1.72834 9.12741 10507.9 0 10507.9
0.028 1.79808 1.79231 9.46544 10507.9 0 10507.9
0.029 1.86246 1.85628 9.80347 10507.9 0 10507.9
0.03 1.92685 1.92024 10.1415 10507.9 0 10507.9
0.031 1.99125 1.98421 10.4795 10507.9 0 10507.9
0.032 2.05567 2.04816 10.8175 10507.9 0 10507.9
0.033 2.12009 2.11212 11.1556 10507.9 0 10507.9
0.034 2.18453 2.17607 11.4936 10507.9 0 10507.9
0.035 2.24897 2.24002 11.8316 10507.9 0 10507.9
0.036 2.31343 2.30397 12.1696 10507.9 0 10507.9
0.037 2.3779 2.36791 12.5076 10507.9 0 10507.9
0.038 2.44238 2.43185 12.8457 10507.9 0 10507.9
0.039 2.50687 2.49579 13.1837 10507.9 0 10507.9
0.04 2.57138 2.55973 13.5217 10507.9 0 10507.9
0.041 2.63589 2.62366 13.8597 10507.9 0 10507.9
0.042 2.70042 2.68759 14.1977 10507.9 0 10507.9
0.043 2.76495 2.75151 14.5357 10507.9 0 10507.9
0.044 2.8295 2.81544 14.8737 10507.9 0 10507.9
0.045 2.89406 2.87936 15.2117 10507.9 0 10507.9
0.046 2.95863 2.94327 15.5497 10507.9 0 10507.9
0.047 3.02321 3.00719 15.8877 10507.9 0 10507.9
0.048 3.08781 3.0711 16.2257 10507.9 0 10507.9
0.049 3.15241 3.13501 16.5637 10507.9 0 10507.9
0.05 3.21703 3.19891 16.9017 10507.9 0 10507.9
0.051 3.28165 3.26281 17.2397 10507.9 0 10507.9
0.052 3.34629 3.32671 17.5777 10507.9 0 10507.9
0.053 3.41094 3.39061 17.9157 10507.9 0 10507.9
0.054 3.4756 3.4545 18.2537 10507.9 0 10507.9
0.055 3.54027 3.51839 18.5917 10507.9 0 10507.9
0.056 3.60495 3.58228 18.9296 10507.9 0 10507.9
0.057 3.66965 3.64616 19.2676 10507.9 0 10507.9
0.058 3.73435 3.71004 19.6056 10507.9 0 10507.9
0.059 3.79907 3.77392 19.9436 10507.9 0 10507.9
0.06 3.8638 3.8378 20.2816 10507.9 0 10507.9
0.061 3.92854 3.90167 20.6196 10507.9 0 10507.9
0.062 3.99329 3.96554 20.9575 10507.9 0 10507.9
0.063 4.05805 4.0294 21.2955 10507.9 0 10507.9
0.064 4.12282 4.09327 21.6335 10507.9 0 10507.9
0.065 4.1876 4.15713 21.9714 10507.9 0 10507.9
0.066 4.2524 4.22098 22.3094 10507.9 0 10507.9
0.067 4.31721 4.28484 22.6474 10507.9 0 10507.9
0.068 4.38202 4.34869 22.9854 10507.9 0 10507.9
0.069 4.44685 4.41254 23.3233 10507.9 0 10507.9
0.07 4.51169 4.47638 23.6613 10507.9 0 10507.9
0.071 4.57654 4.54022 23.9992 10507.9 0 10507.9
0.072 4.6414 4.60406 24.3372 10507.9 0 10507.9
0.073 4.70628 4.6679 24.6752 10507.9 0 10507.9
0.074 4.77116 4.73173 25.0131 10507.9 0 10507.9
0.075 4.83606 4.79556 25.3511 10507.9 0 10507.9
0.076 4.90097 4.85939 25.689 10507.9 0 10507.9
0.077 4.96588 4.92321 26.027 10507.9 0 10507.9
0.078 5.03081 4.98704 26.3649 10507.9 0 10507.9
0.079 5.09575 5.05085 26.7029 10507.9 0 10507.9
0.08 5.16071 5.11467 27.0408 10507.9 0 10507.9
0.081 5.22567 5.17848 27.3788 10507.9 0 10507.9
0.082 5.29064 5.24229 27.7167 10507.9 0 10507.9
0.083 5.35563 5.3061 28.0547 10507.9 0 10507.9
0.084 5.42063 5.3699 28.3926 10507.9 0 10507.9
0.085 5.48563 5.4337 28.7306 10507.9 0 10507.9
0.086 5.55065 5.4975 29.0685 10507.9 0 10507.9
0.087 5.61568 5.56129 29.4064 10507.9 0 10507.9
0.088 5.68073 5.62508 29.7444 10507.9 0 10507.9
0.089 5.74578 5.68887 30.0823 10507.9 0 10507.9
0.09 5.81084 5.75266 30.4202 10507.9 0 10507.9
0.091 5.87592 5.81644 30.7582 10507.9 0 10507.9
0.092 5.941 5.88022 31.0961 10507.9 0 10507.9
0.093 6.0061 5.94399 31.434 10507.9 0 10507.9
0.094 6.07121 6.00777 31.7719 10507.9 0 10507.9
0.095 6.13633 6.07154 32.1099 10507.9 0 10507.9
0.096 6.20146 6.13531 32.4478 10507.9 0 10507.9
0.097 6.26661 6.19907 32.7857 10507.9 0 10507.9
0.098 6.33176 6.26283 33.1236 10507.9 0 10507.9
0.099 6.39693 6.32659 33.4615 10507.9 0 10507.9
0.1 6.4621 6.39034 33.7995 10507.9 0 10507.9
0.101 6.52729 6.4541 34.1374 10507.9 0 10507.9
0.102 6.59249 6.51785 34.4753 10507.9 0 10507.9
0.103 6.6577 6.58159 34.8132 10507.9 0 10507.9
0.104 6.72292 6.64534 35.1511 10507.9 0 10507.9
0.105 6.78815 6.70908 35.489 10507.9 0 10507.9
0.106 6.8534 6.77281 35.8269 10507.9 0 10507.9
0.107 6.91865 6.83655 36.1648 10507.9 0 10507.9
0.108 6.98392 6.90028 36.5027 10507.9 0 10507.9
0.109 7.04919 6.96401 36.8406 10507.9 0 10507.9
0.11 7.11448 7.02773 37.1785 10507.9 0 10507.9
0.111 7.17978 7.09145 37.5164 10507.9 0 10507.9
0.112 7.24509 7.15517 37.8543 10507.9 0 10507.9
0.113 7.31042 7.21889 38.1922 10507.9 0 10507.9
0.114 7.37575 7.2826 38.5301 10507.9 0 10507.9
0.115 7.44109 7.34631 38.868 10507.9 0 10507.9
0.116 7.50645 7.41002 39.2059 10507.9 0 10507.9
0.117 7.57182 7.47373 39.5438 10507.9 0 10507.9
0.118 7.63719 7.53743 39.8817 10507.9 0 10507.9
0.119 7.70258 7.60113 40.2196 10507.9 0 10507.9
0.12 7.76798 7.66482 40.5574 10507.9 0 10507.9
0.121 7.8334 7.72851 40.8953 10507.9 0 10507.9
0.122 7.89882 7.7922 41.2332 10507.9 0 10507.9
0.123 7.96425 7.85589 41.5711 10507.9 0 10507.9
0.124 8.0297 7.91957 41.909 10507.9 0 10507.9
0.125 8.09516 7.98325 42.2468 10507.9 0 10507.9
0.126 8.16062 8.04693 42.5847 10507.9 0 10507.9
0.127 8.2261 8.1106 42.9226 10507.9 0 10507.9
0.128 8.29159 8.17428 43.2605 10507.9 0 10507.9
0.129 8.3571 8.23794 43.5983 10507.9 0 10507.9
0.13 8.42261 8.30161 43.9362 10507.9 0 10507.9
0.131 8.48813 8.36527 44.2741 10507.9 0 10507.9
0.132 8.55367 8.42893 44.6119 10507.9 0 10507.9
0.133 8.61921 8.49259 44.9498 10507.9 0 10507.9
0.134 8.68477 8.55624 45.2877 10507.9 0 10507.9
0.135 8.75034 8.61989 45.6255 10507.9 0 10507.9
0.136 8.81592 8.68354 45.9634 10507.9 0 10507.9
0.137 8.88151 8.74718 46.3012 10507.9 0 10507.9
0.138 8.94712 8.81082 46.6391 10507.9 0 10507.9
0.139 9.01273 8.87446 46.9769 10507.9 0 10507.9
0.14 9.07835 8.9381 47.3148 10507.9 0 10507.9
0.141 9.14399 9.00173 47.6526 10507.9 0 10507.9
0.142 9.20964 9.06536 47.9905 10507.9 0 10507.9
0.143 9.2753 9.12899 48.3283 10507.9 0 10507.9
0.144 9.34097 9.19261 48.6662 10507.9 0 10507.9
0.145 9.40665 9.25623 49.004 10507.9 0 10507.9
0.146 9.47234 9.31985 49.3419 10507.9 0 10507.9
0.147 9.53804 9.38346 49.6797 10507.9 0 10507.9
0.148 9.60376 9.44707 50.0176 10507.9 0 10507.9
0.149 9.66949 9.51068 50.3554 10507.9 0 10507.9
0.15 9.73522 9.57429 50.6932 10507.9 0 10507.9
0.151 9.80097 9.63789 51.0311 10507.9 0 10507.9
0.152 9.86673 9.70149 51.3689 10507.9 0 10507.9
0.153 9.9325 9.76508 51.7067 10507.9 0 10507.9
0.154 9.99828 9.82868 52.0446 10507.9 0 10507.9
0.155 10.0641 9.89227 52.3824 10507.9 0 10507.9
0.156 10.1299 9.95586 52.7202 10507.9 0 10507.9
0.157 10.1957 10.0194 53.058 10507.9 0 10507.9
0.158 10.2615 10.083 53.3959 10507.9 0 10507.9
0.159 10.3274 10.1466 53.7337 10507.9 0 10507.9
0.16 10.3932 10.2102 54.0715 10507.9 0 10507.9
0.161 10.4591 10.2737 54.4093 10507.9 0 10507.9
0.162 10.5249 10.3373 54.7471 10507.9 0 10507.9
0.163 10.5908 10.4009 55.0849 10507.9 0 10507.9
0.164 10.6567 10.4644 55.4228 10507.9 0 10507.9
0.165 10.7226 10.528 55.7606 10507.9 0 10507.9
0.166 10.7885 10.5916 56.0984 10507.9 0 10507.9
0.167 10.8545 10.6551 56.4362 10507.9 0 10507.9
0.168 10.9204 10.7187 56.774 10507.9 0 10507.9
0.169 10.9864 10.7822 57.1118 10507.9 0 10507.9
0.17 11.0523 10.8458 57.4496 10507.9 0 10507.9
0.171 11.1183 10.9093 57.7874 10507.9 0 10507.9
0.172 11.1843 10.9728 58.1252 10507.9 0 10507.9
0.173 11.2503 11.0364 58.463 10507.9 0 10507.9
0.174 11.3163 11.0999 58.8008 10507.9 0 10507.9
0.175 11.3823 11.1634 59.1386 10507.9 0 10507.9
0.176 11.4483 11.227 59.4764 10507.9 0 10507.9
0.177 11.5144 11.2905 59.8142 10507.9 0 10507.9
0.178 11.5804 11.354 60.152 10507.9 0 10507.9
0.179 11.6465 11.4175 60.4898 10507.9 0 10507.9
0.18 11.7126 11.4811 60.8275 10507.9 0 10507.9
0.181 11.7786 11.5446 61.1653 10507.9 0 10507.9
0.182 11.8447 11.6081 61.5031 10507.9 0 10507.9
0.183 11.9108 11.6716 61.8409 10507.9 0 10507.9
0.184 11.977 11.7351 62.1787 10507.9 0 10507.9
0.185 12.0431 11.7986 62.5165 10507.9 0 10507.9
0.186 12.1092 11.8621 62.8542 10507.9 0 10507.9
0.187 12.1754 11.9256 63.192 10507.9 0 10507.9
0.188 12.2416 11.9891 63.5298 10507.9 0 10507.9
0.189 12.3077 12.0526 63.8676 10507.9 0 10507.9
0.19 12.3739 12.116 64.2053 10507.9 0 10507.9
0.191 12.4401 12.1795 64.5431 10507.9 0 10507.9
0.192 12.5063 12.243 64.8809 10507.9 0 10507.9
0.193 12.5725 12.3065 65.2186 10507.9 0 10507.9
0.194 12.6388 12.37 65.5564 10507.9 0 10507.9
0.195 12.705 12.4334 65.8942 10507.9 0 10507.9
0.196 12.7713 12.4969 66.2319 10507.9 0 10507.9
0.197 12.8375 12.5604 66.5697 10507.9 0 10507.9
0.198 12.9038 12.6238 66.9074 10507.9 0 10507.9
0.199 12.9701 12.6873 67.2452 10507.9 0 10507.9
0.2 13.0364 12.7507 67.5829 10507.9 0 10507.9
0.201 13.1027 12.8142 67.9207 10507.9 0 10507.9
0.202 13.169 12.8776 68.2584 10507.9 0 10507.9
0.203 13.2354 12.9411 68.5962 10507.9 0 10507.9
0.204 13.3017 13.0045 68.9339 10507.9 0 10507.9
0.205 13.368 13.068 69.2717 10507.9 0 10507.9
0.206 13.4344 13.1314 69.6094 10507.9 0 10507.9
0.207 13.5008 13.1948 69.9472 10507.9 0 10507.9
0.208 13.5672 13.2583 70.2849 10507.9 0 10507.9
0.209 13.6336 13.3217 70.6227 10507.9 0 10507.9
0.21 13.7 13.3851 70.9604 10507.9 0 10507.9
0.211 13.7664 13.4485 71.2981 10507.9 0 10507.9
0.212 13.8328 13.512 71.6359 10507.9 0 10507.9
0.213 13.8993 13.5754 71.9736 10507.9 0 10507.9
0.214 13.9657 13.6388 72.3113 10507.9 0 10507.9
0.215 14.0322 13.7022 72.6491 10507.9 0 10507.9
0.216 14.0987 13.7656 72.9868 10507.9 0 10507.9
0.217 14.1652 13.829 73.3245 10507.9 0 10507.9
0.218 14.2317 13.8924 73.6622 10507.9 0 10507.9
0.219 14.2982 13.9558 74 10507.9 0 10507.9
0.22 14.3647 14.0192 74.3377 10507.9 0 10507.9
0.221 14.4312 14.0826 74.6754 10507.9 0 10507.9
0.222 14.4978 14.146 75.0131 10507.9 0 10507.9
0.223 14.5643 14.2094 75.3508 10507.9 0 10507.9
