tof posE posN posU tgtE tgtN tgtU
0.001 0.0640662 0.0640513 0.338072 10000 0 10000
0.002 0.128144 0.128099 0.676143 10000 0 10000
0.003 0.192234 0.192145 1.01421 10000 0 10000
0.004 0.256336 0.256186 1.35228 10000 0 10000
0.005 0.320449 0.320225 1.69035 10000 0 10000
0.006 0.384574 0.384261 2.02841 10000 0 10000
0.007 0.448711 0.448293 2.36647 10000 0 10000
0.008 0.51286 0.512323 2.70453 10000 0 10000
0.009 0.577021 0.576349 3.04259 10000 0 10000
0.01 0.641193 0.640372 3.38065 10000 0 10000
0.011 0.705377 0.704392 3.71871 10000 0 10000
0.012 0.769573 0.768408 4.05676 10000 0 10000
0.013 0.833781 0.832422 4.39481 10000 0 10000
0.014 0.898 0.896433 4.73286 10000 0 10000
0.015 0.962231 0.96044 5.07091 10000 0 10000
0.016 1.02647 1.02444 5.40896 10000 0 10000
0.017 1.09073 1.08845 5.74701 10000 0 10000
0.018 1.155 1.15244 6.08505 10000 0 10000
0.019 1.21927 1.21644 6.42309 10000 0 10000
0.02 1.28356 1.28043 6.76114 10000 0 10000
0.021 1.34787 1.34442 7.09918 10000 0 10000
0.022 1.41218 1.4084 7.43721 10000 0 10000
0.023 1.47651 1.47239 7.77525 10000 0 10000
0.024 1.54084 1.53636 8.11328 10000 0 10000
0.025 1.60519 1.60034 8.45132 10000 0 10000
0.026 1.66955 1.66431 8.78935 10000 0 10000
0.027 1.73393 1.72828 9.12738 10000 0 10000
0.028 1.79831 1.79225 9.46541 10000 0 10000
0.029 1.86271 1.85621 9.80343 10000 0 10000
0.03 1.92712 1.92017 10.1415 10000 0 10000
0.031 1.99154 1.98413 10.4795 10000 0 10000
0.032 2.05597 2.04808 10.8175 10000 0 10000
0.033 2.12041 2.11204 11.1555 10000 0 10000
0.034 2.18487 2.17598 11.4935 10000 0 10000
0.035 2.24933 2.23993 11.8316 10000 0 10000
0.036 2.31381 2.30387 12.1696 10000 0 10000
0.037 2.3783 2.36781 12.5076 10000 0 10000
0.038 2.4428 2.43174 12.8456 10000 0 10000
0.039 2.50732 2.49567 13.1836 10000 0 10000
0.04 2.57184 2.5596 13.5216 10000 0 10000
0.041 2.63638 2.62353 13.8596 10000 0 10000
0.042 2.70093 2.68745 14.1976 10000 0 10000
0.043 2.76549 2.75137 14.5356 10000 0 10000
0.044 2.83007 2.81529 14.8736 10000 0 10000
0.045 2.89465 2.8792 15.2116 10000 0 10000
0.046 2.95925 2.94311 15.5496 10000 0 10000
0.047 3.02386 3.00702 15.8876 10000 0 10000
0.048 3.08848 3.07092 16.2256 10000 0 10000
0.049 3.15311 3.13482 16.5636 10000 0 10000
0.05 3.21775 3.19872 16.9016 10000 0 10000
0.051 3.28241 3.26261 17.2396 10000 0 10000
0.052 3.34708 3.3265 17.5776 10000 0 10000
0.053 3.41176 3.39039 17.9156 10000 0 10000
0.054 3.47645 3.45428 18.2536 10000 0 10000
0.055 3.54115 3.51816 18.5915 10000 0 10000
0.056 3.60586 3.58204 18.9295 10000 0 10000
0.057 3.67059 3.64591 19.2675 10000 0 10000
0.058 3.73533 3.70978 19.6055 10000 0 10000
0.059 3.80008 3.77365 19.9435 10000 0 10000
0.06 3.86484 3.83752 20.2814 10000 0 10000
0.061 3.92961 3.90138 20.6194 10000 0 10000
0.062 3.9944 3.96524 20.9574 10000 0 10000
0.063 4.0592 4.0291 21.2953 10000 0 10000
0.064 4.12401 4.09295 21.6333 10000 0 10000
0.065 4.18883 4.1568 21.9713 10000 0 10000
0.066 4.25366 4.22065 22.3092 10000 0 10000
0.067 4.3185 4.28449 22.6472 10000 0 10000
0.068 4.38336 4.34833 22.9852 10000 0 10000
0.069 4.44823 4.41217 23.3231 10000 0 10000
0.07 4.51311 4.47601 23.6611 10000 0 10000
0.071 4.578 4.53984 23.999 10000 0 10000
0.072 4.6429 4.60366 24.337 10000 0 10000
0.073 4.70782 4.66749 24.675 10000 0 10000
0.074 4.77274 4.73131 25.0129 10000 0 10000
0.075 4.83768 4.79513 25.3509 10000 0 10000
0.076 4.90263 4.85895 25.6888 10000 0 10000
0.077 4.96759 4.92276 26.0267 10000 0 10000
0.078 5.03257 4.98657 26.3647 10000 0 10000
0.079 5.09755 5.05037 26.7026 10000 0 10000
0.08 5.16255 5.11418 27.0406 10000 0 10000
0.081 5.22756 5.17798 27.3785 10000 0 10000
0.082 5.29258 5.24177 27.7165 10000 0 10000
0.083 5.35762 5.30557 28.0544 10000 0 10000
0.084 5.42266 5.36936 28.3923 10000 0 10000
0.085 5.48772 5.43314 28.7303 10000 0 10000
0.086 5.55279 5.49693 29.0682 10000 0 10000
0.087 5.61787 5.56071 29.4061 10000 0 10000
0.088 5.68296 5.62449 29.744 10000 0 10000
0.089 5.74806 5.68826 30.082 10000 0 10000
0.09 5.81318 5.75203 30.4199 10000 0 10000
0.091 5.8783 5.8158 30.7578 10000 0 10000
0.092 5.94344 5.87957 31.0957 10000 0 10000
0.093 6.00859 5.94333 31.4337 10000 0 10000
0.094 6.07376 6.00709 31.7716 10000 0 10000
0.095 6.13893 6.07084 32.1095 10000 0 10000
0.096 6.20412 6.1346 32.4474 10000 0 10000
0.097 6.26931 6.19835 32.7853 10000 0 10000
0.098 6.33452 6.26209 33.1232 10000 0 10000
0.099 6.39975 6.32584 33.4611 10000 0 10000
0.1 6.46498 6.38958 33.7991 10000 0 10000
0.101 6.53022 6.45331 34.137 10000 0 10000
0.102 6.59548 6.51705 34.4749 10000 0 10000
0.103 6.66075 6.58078 34.8128 10000 0 10000
0.104 6.72603 6.64451 35.1507 10000 0 10000
0.105 6.79132 6.70823 35.4886 10000 0 10000
0.106 6.85663 6.77195 35.8265 10000 0 10000
0.107 6.92194 6.83567 36.1644 10000 0 10000
0.108 6.98727 6.89938 36.5023 10000 0 10000
0.109 7.05261 6.9631 36.8402 10000 0 10000
0.11 7.11796 7.0268 37.178 10000 0 10000
0.111 7.18332 7.09051 37.5159 10000 0 10000
0.112 7.2487 7.15421 37.8538 10000 0 10000
0.113 7.31409 7.21791 38.1917 10000 0 10000
0.114 7.37948 7.28161 38.5296 10000 0 10000
0.115 7.44489 7.3453 38.8675 10000 0 10000
0.116 7.51032 7.40899 39.2054 10000 0 10000
0.117 7.57575 7.47268 39.5432 10000 0 10000
0.118 7.64119 7.53636 39.8811 10000 0 10000
0.119 7.70665 7.60004 40.219 10000 0 10000
0.12 7.77212 7.66372 40.5569 10000 0 10000
0.121 7.8376 7.72739 40.8947 10000 0 10000
0.122 7.90309 7.79106 41.2326 10000 0 10000
0.123 7.9686 7.85473 41.5705 10000 0 10000
0.124 8.03412 7.91839 41.9083 10000 0 10000
0.125 8.09964 7.98205 42.2462 10000 0 10000
0.126 8.16518 8.04571 42.5841 10000 0 10000
0.127 8.23074 8.10937 42.9219 10000 0 10000
0.128 8.2963 8.17302 43.2598 10000 0 10000
0.129 8.36187 8.23667 43.5977 10000 0 10000
0.13 8.42746 8.30031 43.9355 10000 0 10000
0.131 8.49306 8.36396 44.2734 10000 0 10000
0.132 8.55867 8.4276 44.6112 10000 0 10000
0.133 8.62429 8.49123 44.9491 10000 0 10000
0.134 8.68993 8.55486 45.2869 10000 0 10000
0.135 8.75557 8.61849 45.6248 10000 0 10000
0.136 8.82123 8.68212 45.9626 10000 0 10000
0.137 8.8869 8.74574 46.3005 10000 0 10000
0.138 8.95258 8.80936 46.6383 10000 0 10000
0.139 9.01827 8.87298 46.9762 10000 0 10000
0.14 9.08398 8.9366 47.314 10000 0 10000
0.141 9.1497 9.00021 47.6518 10000 0 10000
0.142 9.21542 9.06381 47.9897 10000 0 10000
0.143 9.28116 9.12742 48.3275 10000 0 10000
0.144 9.34692 9.19102 48.6653 10000 0 10000
0.145 9.41268 9.25462 49.0032 10000 0 10000
0.146 9.47846 9.31821 49.341 10000 0 10000
0.147 9.54424 9.38181 49.6788 10000 0 10000
0.148 9.61004 9.44539 50.0167 10000 0 10000
0.149 9.67585 9.50898 50.3545 10000 0 10000
0.15 9.74168 9.57256 50.6923 10000 0 10000
0.151 9.80751 9.63614 51.0301 10000 0 10000
0.152 9.87336 9.69972 51.3679 10000 0 10000
0.153 9.93921 9.76329 51.7058 10000 0 10000
0.154 10.0051 9.82686 52.0436 10000 0 10000
