tof posE posN posU tgtE tgtN tgtU
0.001 0.0640656 0.0640515 0.338072 10546.9 0 10546.9
0.002 0.128142 0.1281 0.676143 10546.9 0 10546.9
0.003 0.19223 0.192145 1.01421 10546.9 0 10546.9
0.004 0.25633 0.256188 1.35228 10546.9 0 10546.9
0.005 0.32044 0.320228 1.69035 10546.9 0 10546.9
0.006 0.384561 0.384264 2.02841 10546.9 0 10546.9
0.007 0.448694 0.448298 2.36647 10546.9 0 10546.9
0.008 0.512838 0.512328 2.70454 10546.9 0 10546.9
0.009 0.576993 0.576356 3.0426 10546.9 0 10546.9
0.01 0.641159 0.640381 3.38065 10546.9 0 10546.9
0.011 0.705337 0.704402 3.71871 10546.9 0 10546.9
0.012 0.769525 0.768421 4.05677 10546.9 0 10546.9
0.013 0.833725 0.832437 4.39482 10546.9 0 10546.9
0.014 0.897936 0.89645 4.73287 10546.9 0 10546.9
0.015 0.962158 0.960459 5.07092 10546.9 0 10546.9
0.016 1.02639 1.02447 5.40897 10546.9 0 10546.9
0.017 1.09064 1.08847 5.74702 10546.9 0 10546.9
0.018 1.15489 1.15247 6.08507 10546.9 0 10546.9
0.019 1.21916 1.21647 6.42311 10546.9 0 10546.9
0.02 1.28344 1.28046 6.76115 10546.9 0 10546.9
0.021 1.34773 1.34446 7.0992 10546.9 0 10546.9
0.022 1.41203 1.40844 7.43724 10546.9 0 10546.9
0.023 1.47634 1.47243 7.77527 10546.9 0 10546.9
0.024 1.54066 1.53641 8.11331 10546.9 0 10546.9
0.025 1.60499 1.60039 8.45134 10546.9 0 10546.9
0.026 1.66934 1.66437 8.78938 10546.9 0 10546.9
0.027 1.7337 1.72834 9.12741 10546.9 0 10546.9
0.028 1.79806 1.79232 9.46544 10546.9 0 10546.9
0.029 1.86244 1.85628 9.80347 10546.9 0 10546.9
0.03 1.92683 1.92025 10.1415 10546.9 0 10546.9
0.031 1.99123 1.98421 10.4795 10546.9 0 10546.9
0.032 2.05564 2.04817 10.8175 10546.9 0 10546.9
0.033 2.12007 2.11213 11.1556 10546.9 0 10546.9
0.034 2.1845 2.17608 11.4936 10546.9 0 10546.9
0.035 2.24895 2.24003 11.8316 10546.9 0 10546.9
0.036 2.3134 2.30398 12.1696 10546.9 0 10546.9
0.037 2.37787 2.36792 12.5076 10546.9 0 10546.9
0.038 2.44235 2.43186 12.8457 10546.9 0 10546.9
0.039 2.50684 2.4958 13.1837 10546.9 0 10546.9
0.04 2.57134 2.55974 13.5217 10546.9 0 10546.9
0.041 2.63586 2.62367 13.8597 10546.9 0 10546.9
0.042 2.70038 2.6876 14.1977 10546.9 0 10546.9
0.043 2.76492 2.75152 14.5357 10546.9 0 10546.9
0.044 2.82946 2.81545 14.8737 10546.9 0 10546.9
0.045 2.89402 2.87937 15.2117 10546.9 0 10546.9
0.046 2.95859 2.94329 15.5497 10546.9 0 10546.9
0.047 3.02317 3.0072 15.8877 10546.9 0 10546.9
0.048 3.08776 3.07111 16.2257 10546.9 0 10546.9
0.049 3.15236 3.13502 16.5637 10546.9 0 10546.9
0.05 3.21697 3.19893 16.9017 10546.9 0 10546.9
0.051 3.2816 3.26283 17.2397 10546.9 0 10546.9
0.052 3.34623 3.32673 17.5777 10546.9 0 10546.9
0.053 3.41088 3.39062 17.9157 10546.9 0 10546.9
0.054 3.47554 3.45452 18.2537 10546.9 0 10546.9
0.055 3.54021 3.51841 18.5917 10546.9 0 10546.9
0.056 3.60489 3.5823 18.9297 10546.9 0 10546.9
0.057 3.66958 3.64618 19.2676 10546.9 0 10546.9
0.058 3.73428 3.71006 19.6056 10546.9 0 10546.9
0.059 3.799 3.77394 19.9436 10546.9 0 10546.9
0.06 3.86372 3.83782 20.2816 10546.9 0 10546.9
0.061 3.92846 3.90169 20.6196 10546.9 0 10546.9
0.062 3.99321 3.96556 20.9575 10546.9 0 10546.9
0.063 4.05796 4.02943 21.2955 10546.9 0 10546.9
0.064 4.12273 4.09329 21.6335 10546.9 0 10546.9
0.065 4.18752 4.15715 21.9715 10546.9 0 10546.9
0.066 4.25231 4.22101 22.3094 10546.9 0 10546.9
0.067 4.31711 4.28486 22.6474 10546.9 0 10546.9
0.068 4.38193 4.34872 22.9854 10546.9 0 10546.9
0.069 4.44675 4.41256 23.3233 10546.9 0 10546.9
0.07 4.51159 4.47641 23.6613 10546.9 0 10546.9
0.071 4.57644 4.54025 23.9993 10546.9 0 10546.9
0.072 4.6413 4.60409 24.3372 10546.9 0 10546.9
0.073 4.70617 4.66793 24.6752 10546.9 0 10546.9
0.074 4.77105 4.73176 25.0131 10546.9 0 10546.9
0.075 4.83594 4.7956 25.3511 10546.9 0 10546.9
0.076 4.90084 4.85942 25.6891 10546.9 0 10546.9
0.077 4.96576 4.92325 26.027 10546.9 0 10546.9
0.078 5.03069 4.98707 26.365 10546.9 0 10546.9
0.079 5.09562 5.05089 26.7029 10546.9 0 10546.9
0.08 5.16057 5.11471 27.0409 10546.9 0 10546.9
0.081 5.22553 5.17852 27.3788 10546.9 0 10546.9
0.082 5.2905 5.24233 27.7167 10546.9 0 10546.9
0.083 5.35548 5.30614 28.0547 10546.9 0 10546.9
0.084 5.42048 5.36994 28.3926 10546.9 0 10546.9
0.085 5.48548 5.43374 28.7306 10546.9 0 10546.9
0.086 5.5505 5.49754 29.0685 10546.9 0 10546.9
0.087 5.61553 5.56133 29.4065 10546.9 0 10546.9
0.088 5.68056 5.62513 29.7444 10546.9 0 10546.9
0.089 5.74561 5.68892 30.0823 10546.9 0 10546.9
0.09 5.81067 5.7527 30.4203 10546.9 0 10546.9
0.091 5.87574 5.81649 30.7582 10546.9 0 10546.9
0.092 5.94083 5.88027 31.0961 10546.9 0 10546.9
0.093 6.00592 5.94404 31.434 10546.9 0 10546.9
0.094 6.07103 6.00782 31.772 10546.9 0 10546.9
0.095 6.13614 6.07159 32.1099 10546.9 0 10546.9
0.096 6.20127 6.13536 32.4478 10546.9 0 10546.9
0.097 6.26641 6.19912 32.7857 10546.9 0 10546.9
0.098 6.33156 6.26288 33.1237 10546.9 0 10546.9
0.099 6.39672 6.32664 33.4616 10546.9 0 10546.9
0.1 6.46189 6.3904 33.7995 10546.9 0 10546.9
0.101 6.52708 6.45415 34.1374 10546.9 0 10546.9
0.102 6.59227 6.5179 34.4753 10546.9 0 10546.9
0.103 6.65748 6.58165 34.8132 10546.9 0 10546.9
0.104 6.72269 6.6454 35.1511 10546.9 0 10546.9
0.105 6.78792 6.70914 35.4891 10546.9 0 10546.9
0.106 6.85316 6.77288 35.827 10546.9 0 10546.9
0.107 6.91841 6.83661 36.1649 10546.9 0 10546.9
0.108 6.98367 6.90034 36.5028 10546.9 0 10546.9
0.109 7.04894 6.96407 36.8407 10546.9 0 10546.9
0.11 7.11423 7.0278 37.1786 10546.9 0 10546.9
0.111 7.17952 7.09152 37.5165 10546.9 0 10546.9
0.112 7.24483 7.15524 37.8544 10546.9 0 10546.9
0.113 7.31015 7.21896 38.1923 10546.9 0 10546.9
0.114 7.37548 7.28268 38.5302 10546.9 0 10546.9
0.115 7.44082 7.34639 38.8681 10546.9 0 10546.9
0.116 7.50617 7.4101 39.2059 10546.9 0 10546.9
0.117 7.57153 7.4738 39.5438 10546.9 0 10546.9
0.118 7.6369 7.5375 39.8817 10546.9 0 10546.9
0.119 7.70229 7.6012 40.2196 10546.9 0 10546.9
0.12 7.76768 7.6649 40.5575 10546.9 0 10546.9
0.121 7.83309 7.72859 40.8954 10546.9 0 10546.9
0.122 7.89851 7.79229 41.2333 10546.9 0 10546.9
0.123 7.96394 7.85597 41.5711 10546.9 0 10546.9
0.124 8.02938 7.91966 41.909 10546.9 0 10546.9
0.125 8.09483 7.98334 42.2469 10546.9 0 10546.9
0.126 8.16029 8.04702 42.5848 10546.9 0 10546.9
0.127 8.22577 8.11069 42.9226 10546.9 0 10546.9
0.128 8.29125 8.17437 43.2605 10546.9 0 10546.9
0.129 8.35675 8.23804 43.5984 10546.9 0 10546.9
0.13 8.42226 8.3017 43.9363 10546.9 0 10546.9
0.131 8.48777 8.36537 44.2741 10546.9 0 10546.9
0.132 8.5533 8.42903 44.612 10546.9 0 10546.9
0.133 8.61885 8.49269 44.9498 10546.9 0 10546.9
0.134 8.6844 8.55634 45.2877 10546.9 0 10546.9
0.135 8.74996 8.61999 45.6256 10546.9 0 10546.9
0.136 8.81554 8.68364 45.9634 10546.9 0 10546.9
0.137 8.88112 8.74729 46.3013 10546.9 0 10546.9
0.138 8.94672 8.81093 46.6391 10546.9 0 10546.9
0.139 9.01233 8.87457 46.977 10546.9 0 10546.9
0.14 9.07795 8.93821 47.3149 10546.9 0 10546.9
0.141 9.14358 9.00184 47.6527 10546.9 0 10546.9
0.142 9.20922 9.06547 47.9906 10546.9 0 10546.9
0.143 9.27487 9.1291 48.3284 10546.9 0 10546.9
0.144 9.34053 9.19272 48.6662 10546.9 0 10546.9
0.145 9.40621 9.25635 49.0041 10546.9 0 10546.9
0.146 9.4719 9.31997 49.3419 10546.9 0 10546.9
0.147 9.53759 9.38358 49.6798 10546.9 0 10546.9
0.148 9.6033 9.44719 50.0176 10546.9 0 10546.9
0.149 9.66902 9.5108 50.3555 10546.9 0 10546.9
0.15 9.73475 9.57441 50.6933 10546.9 0 10546.9
0.151 9.8005 9.63802 51.0311 10546.9 0 10546.9
0.152 9.86625 9.70162 51.369 10546.9 0 10546.9
0.153 9.93201 9.76521 51.7068 10546.9 0 10546.9
0.154 9.99779 9.82881 52.0446 10546.9 0 10546.9
0.155 10.0636 9.8924 52.3824 10546.9 0 10546.9
0.156 10.1294 9.95599 52.7203 10546.9 0 10546.9
0.157 10.1952 10.0196 53.0581 10546.9 0 10546.9
0.158 10.261 10.0832 53.3959 10546.9 0 10546.9
0.159 10.3268 10.1467 53.7337 10546.9 0 10546.9
0.16 10.3927 10.2103 54.0716 10546.9 0 10546.9
0.161 10.4585 10.2739 54.4094 10546.9 0 10546.9
0.162 10.5244 10.3375 54.7472 10546.9 0 10546.9
0.163 10.5903 10.401 55.085 10546.9 0 10546.9
0.164 10.6562 10.4646 55.4228 10546.9 0 10546.9
0.165 10.7221 10.5282 55.7606 10546.9 0 10546.9
0.166 10.788 10.5917 56.0985 10546.9 0 10546.9
0.167 10.8539 10.6553 56.4363 10546.9 0 10546.9
0.168 10.9198 10.7188 56.7741 10546.9 0 10546.9
0.169 10.9858 10.7824 57.1119 10546.9 0 10546.9
0.17 11.0517 10.8459 57.4497 10546.9 0 10546.9
0.171 11.1177 10.9095 57.7875 10546.9 0 10546.9
0.172 11.1837 10.973 58.1253 10546.9 0 10546.9
0.173 11.2497 11.0365 58.4631 10546.9 0 10546.9
0.174 11.3157 11.1001 58.8009 10546.9 0 10546.9
0.175 11.3817 11.1636 59.1387 10546.9 0 10546.9
0.176 11.4477 11.2271 59.4765 10546.9 0 10546.9
0.177 11.5137 11.2907 59.8143 10546.9 0 10546.9
0.178 11.5798 11.3542 60.1521 10546.9 0 10546.9
0.179 11.6458 11.4177 60.4899 10546.9 0 10546.9
0.18 11.7119 11.4812 60.8276 10546.9 0 10546.9
0.181 11.778 11.5447 61.1654 10546.9 0 10546.9
0.182 11.844 11.6083 61.5032 10546.9 0 10546.9
0.183 11.9101 11.6718 61.841 10546.9 0 10546.9
0.184 11.9763 11.7353 62.1788 10546.9 0 10546.9
0.185 12.0424 11.7988 62.5166 10546.9 0 10546.9
0.186 12.1085 11.8623 62.8543 10546.9 0 10546.9
0.187 12.1747 11.9258 63.1921 10546.9 0 10546.9
0.188 12.2408 11.9893 63.5299 10546.9 0 10546.9
0.189 12.307 12.0528 63.8677 10546.9 0 10546.9
0.19 12.3732 12.1162 64.2054 10546.9 0 10546.9
0.191 12.4393 12.1797 64.5432 10546.9 0 10546.9
0.192 12.5055 12.2432 64.881 10546.9 0 10546.9
0.193 12.5718 12.3067 65.2187 10546.9 0 10546.9
0.194 12.638 12.3702 65.5565 10546.9 0 10546.9
0.195 12.7042 12.4336 65.8943 10546.9 0 10546.9
0.196 12.7705 12.4971 66.232 10546.9 0 10546.9
0.197 12.8367 12.5606 66.5698 10546.9 0 10546.9
0.198 12.903 12.624 66.9075 10546.9 0 10546.9
0.199 12.9693 12.6875 67.2453 10546.9 0 10546.9
0.2 13.0356 12.7509 67.5831 10546.9 0 10546.9
0.201 13.1019 12.8144 67.9208 10546.9 0 10546.9
0.202 13.1682 12.8779 68.2586 10546.9 0 10546.9
0.203 13.2345 12.9413 68.5963 10546.9 0 10546.9
0.204 13.3008 13.0047 68.9341 10546.9 0 10546.9
0.205 13.3672 13.0682 69.2718 10546.9 0 10546.9
0.206 13.4335 13.1316 69.6096 10546.9 0 10546.9
0.207 13.4999 13.1951 69.9473 10546.9 0 10546.9
0.208 13.5663 13.2585 70.285 10546.9 0 10546.9
0.209 13.6327 13.3219 70.6228 10546.9 0 10546.9
0.21 13.6991 13.3854 70.9605 10546.9 0 10546.9
0.211 13.7655 13.4488 71.2983 10546.9 0 10546.9
0.212 13.8319 13.5122 71.636 10546.9 0 10546.9
0.213 13.8983 13.5756 71.9737 10546.9 0 10546.9
0.214 13.9648 13.639 72.3115 10546.9 0 10546.9
0.215 14.0312 13.7025 72.6492 10546.9 0 10546.9
0.216 14.0977 13.7659 72.9869 10546.9 0 10546.9
0.217 14.1642 13.8293 73.3247 10546.9 0 10546.9
0.218 14.2307 13.8927 73.6624 10546.9 0 10546.9
0.219 14.2972 13.9561 74.0001 10546.9 0 10546.9
0.22 14.3637 14.0195 74.3378 10546.9 0 10546.9
0.221 14.4302 14.0829 74.6755 10546.9 0 10546.9
0.222 14.4968 14.1463 75.0133 10546.9 0 10546.9
0.223 14.5633 14.2096 75.351 10546.9 0 10546.9
0.224 14.6299 14.273 75.6887 10546.9 0 10546.9
0.225 14.6964 14.3364 76.0264 10546.9 0 10546.9
0.226 14.763 14.3998 76.3641 10546.9 0 10546.9
0.227 14.8296 14.4632 76.7018 10546.9 0 10546.9
0.228 14.8962 14.5265 77.0396 10546.9 0 10546.9
0.229 14.9628 14.5899 77.3773 10546.9 0 10546.9
0.23 15.0294 14.6533 77.715 10546.9 0 10546.9
0.231 15.0961 14.7166 78.0527 10546.9 0 10546.9
0.232 15.1627 14.78 78.3904 10546.9 0 10546.9
0.233 15.2294 14.8434 78.7281 10546.9 0 10546.9
0.234 15.2961 14.9067 79.0658 10546.9 0 10546.9
0.235 15.3627 14.9701 79.4035 10546.9 0 10546.9
0.236 15.4294 15.0334 79.7412 10546.9 0 10546.9
0.237 15.4961 15.0968 80.0789 10546.9 0 10546.9
0.238 15.5629 15.1601 80.4166 10546.9 0 10546.9
0.239 15.6296 15.2235 80.7543 10546.9 0 10546.9
0.24 15.6963 15.2868 81.0919 10546.9 0 10546.9
0.241 15.7631 15.3501 81.4296 10546.9 0 10546.9
0.242 15.8298 15.4135 81.7673 10546.9 0 10546.9
0.243 15.8966 15.4768 82.105 10546.9 0 10546.9
0.244 15.9634 15.5401 82.4427 10546.9 0 10546.9
0.245 16.0302 15.6034 82.7804 10546.9 0 10546.9
0.246 16.097 15.6668 83.118 10546.9 0 10546.9
0.247 16.1638 15.7301 83.4557 10546.9 0 10546.9
0.248 16.2306 15.7934 83.7934 10546.9 0 10546.9
0.249 16.2974 15.8567 84.1311 10546.9 0 10546.9
0.25 16.3643 15.92 84.4688 10546.9 0 10546.9
0.251 16.4312 15.9833 84.8064 10546.9 0 10546.9
0.252 16.498 16.0466 85.1441 10546.9 0 10546.9
0.253 16.5649 16.1099 85.4818 10546.9 0 10546.9
0.254 16.6318 16.1732 85.8194 10546.9 0 10546.9
0.255 16.6987 16.2365 86.1571 10546.9 0 10546.9
0.256 16.7656 16.2998 86.4948 10546.9 0 10546.9
0.257 16.8326 16.3631 86.8324 10546.9 0 10546.9
0.258 16.8995 16.4264 87.1701 10546.9 0 10546.9
0.259 16.9664 16.4896 87.5077 10546.9 0 10546.9
0.26 17.0334 16.5529 87.8454 10546.9 0 10546.9
0.261 17.1004 16.6162 88.1831 10546.9 0 10546.9
0.262 17.1674 16.6795 88.5207 10546.9 0 10546.9
0.263 17.2343 16.7427 88.8584 10546.9 0 10546.9
0.264 17.3014 16.806 89.196 10546.9 0 10546.9
0.265 17.3684 16.8693 89.5337 10546.9 0 10546.9
0.266 17.4354 16.9325 89.8713 10546.9 0 10546.9
0.267 17.5024 16.9958 90.2089 10546.9 0 10546.9
0.268 17.5695 17.059 90.5466 10546.9 0 10546.9
0.269 17.6365 17.1223 90.8842 10546.9 0 10546.9
0.27 17.7036 17.1855 91.2219 10546.9 0 10546.9
0.271 17.7707 17.2488 91.5595 10546.9 0 10546.9
0.272 17.8378 17.312 91.8972 10546.9 0 10546.9
0.273 17.9049 17.3753 92.2348 10546.9 0 10546.9
0.274 17.972 17.4385 92.5724 10546.9 0 10546.9
0.275 18.0391 17.5017 92.9101 10546.9 0 10546.9
0.276 18.1063 17.565 93.2477 10546.9 0 10546.9
0.277 18.1734 17.6282 93.5853 10546.9 0 10546.9
0.278 18.2406 17.6914 93.9229 10546.9 0 10546.9
0.279 18.3078 17.7546 94.2606 10546.9 0 10546.9
0.28 18.375 17.8178 94.5982 10546.9 0 10546.9
0.281 18.4421 17.8811 94.9358 10546.9 0 10546.9
0.282 18.5094 17.9443 95.2734 10546.9 0 10546.9
0.283 18.5766 18.0075 95.6111 10546.9 0 10546.9
0.284 18.6438 18.0707 95.9487 10546.9 0 10546.9
0.285 18.711 18.1339 96.2863 10546.9 0 10546.9
0.286 18.7783 18.1971 96.6239 10546.9 0 10546.9
0.287 18.8456 18.2603 96.9615 10546.9 0 10546.9
0.288 18.9128 18.3235 97.2991 10546.9 0 10546.9
0.289 18.9801 18.3867 97.6367 10546.9 0 10546.9
0.29 19.0474 18.4499 97.9743 10546.9 0 10546.9
0.291 19.1147 18.513 98.3119 10546.9 0 10546.9
0.292 19.182 18.5762 98.6495 10546.9 0 10546.9
0.293 19.2494 18.6394 98.9871 10546.9 0 10546.9
0.294 19.3167 18.7026 99.3247 10546.9 0 10546.9
0.295 19.3841 18.7657 99.6623 10546.9 0 10546.9
0.296 19.4514 18.8289 99.9999 10546.9 0 10546.9
0.297 19.5188 18.8921 100.338 10546.9 0 10546.9
0.298 19.5862 18.9552 100.675 10546.9 0 10546.9
0.299 19.6536 19.0184 101.013 10546.9 0 10546.9
0.3 19.721 19.0816 101.35 10546.9 0 10546.9
0.301 19.7884 19.1447 101.688 10546.9 0 10546.9
0.302 19.8558 19.2079 102.025 10546.9 0 10546.9
0.303 19.9233 19.271 102.363 10546.9 0 10546.9
0.304 19.9907 19.3342 102.701 10546.9 0 10546.9
0.305 20.0582 19.3973 103.038 10546.9 0 10546.9
0.306 20.1257 19.4604 103.376 10546.9 0 10546.9
0.307 20.1931 19.5236 103.713 10546.9 0 10546.9
0.308 20.2606 19.5867 104.051 10546.9 0 10546.9
0.309 20.3281 19.6498 104.389 10546.9 0 10546.9
0.31 20.3957 19.713 104.726 10546.9 0 10546.9
0.311 20.4632 19.7761 105.064 10546.9 0 10546.9
0.312 20.5307 19.8392 105.401 10546.9 0 10546.9
0.313 20.5983 19.9023 105.739 10546.9 0 10546.9
0.314 20.6659 19.9655 106.076 10546.9 0 10546.9
0.315 20.7334 20.0286 106.414 10546.9 0 10546.9
0.316 20.801 20.0917 106.752 10546.9 0 10546.9
0.317 20.8686 20.1548 107.089 10546.9 0 10546.9
0.318 20.9362 20.2179 107.427 10546.9 0 10546.9
0.319 21.0038 20.281 107.764 10546.9 0 10546.9
0.32 21.0715 20.3441 108.102 10546.9 0 10546.9
0.321 21.1391 20.4072 108.439 10546.9 0 10546.9
0.322 21.2068 20.4703 108.777 10546.9 0 10546.9
0.323 21.2744 20.5334 109.114 10546.9 0 10546.9
