tof posE posN posU tgtE tgtN tgtU
0.001 0.0640649 0.0640517 0.338073 11250 0 11250
0.002 0.12814 0.128101 0.676144 11250 0 11250
0.003 0.192226 0.192147 1.01421 11250 0 11250
0.004 0.256323 0.25619 1.35228 11250 0 11250
0.005 0.320429 0.32023 1.69035 11250 0 11250
0.006 0.384547 0.384268 2.02841 11250 0 11250
0.007 0.448675 0.448303 2.36648 11250 0 11250
0.008 0.512813 0.512335 2.70454 11250 0 11250
0.009 0.576962 0.576364 3.0426 11250 0 11250
0.01 0.641121 0.640391 3.38066 11250 0 11250
0.011 0.705291 0.704415 3.71872 11250 0 11250
0.012 0.769471 0.768436 4.05677 11250 0 11250
0.013 0.833661 0.832454 4.39483 11250 0 11250
0.014 0.897863 0.896469 4.73288 11250 0 11250
0.015 0.962074 0.960482 5.07094 11250 0 11250
0.016 1.0263 1.02449 5.40899 11250 0 11250
0.017 1.09053 1.0885 5.74704 11250 0 11250
0.018 1.15477 1.1525 6.08508 11250 0 11250
0.019 1.21903 1.2165 6.42313 11250 0 11250
0.02 1.28329 1.2805 6.76117 11250 0 11250
0.021 1.34756 1.3445 7.09922 11250 0 11250
0.022 1.41185 1.40849 7.43726 11250 0 11250
0.023 1.47614 1.47248 7.7753 11250 0 11250
0.024 1.54045 1.53647 8.11334 11250 0 11250
0.025 1.60477 1.60045 8.45138 11250 0 11250
0.026 1.66909 1.66444 8.78941 11250 0 11250
0.027 1.73343 1.72842 9.12745 11250 0 11250
0.028 1.79778 1.79239 9.46548 11250 0 11250
0.029 1.86214 1.85636 9.80351 11250 0 11250
0.03 1.92651 1.92034 10.1415 11250 0 11250
0.031 1.99089 1.9843 10.4796 11250 0 11250
0.032 2.05528 2.04827 10.8176 11250 0 11250
0.033 2.11968 2.11223 11.1556 11250 0 11250
0.034 2.18409 2.17619 11.4936 11250 0 11250
0.035 2.24851 2.24015 11.8317 11250 0 11250
0.036 2.31294 2.3041 12.1697 11250 0 11250
0.037 2.37738 2.36805 12.5077 11250 0 11250
0.038 2.44183 2.432 12.8457 11250 0 11250
0.039 2.5063 2.49595 13.1837 11250 0 11250
0.04 2.57077 2.55989 13.5218 11250 0 11250
0.041 2.63525 2.62383 13.8598 11250 0 11250
0.042 2.69975 2.68777 14.1978 11250 0 11250
0.043 2.76425 2.7517 14.5358 11250 0 11250
0.044 2.82877 2.81563 14.8738 11250 0 11250
0.045 2.8933 2.87956 15.2118 11250 0 11250
0.046 2.95783 2.94349 15.5498 11250 0 11250
0.047 3.02238 3.00741 15.8878 11250 0 11250
0.048 3.08694 3.07133 16.2258 11250 0 11250
0.049 3.1515 3.13525 16.5638 11250 0 11250
0.05 3.21608 3.19916 16.9018 11250 0 11250
0.051 3.28067 3.26308 17.2398 11250 0 11250
0.052 3.34527 3.32698 17.5778 11250 0 11250
0.053 3.40988 3.39089 17.9158 11250 0 11250
0.054 3.4745 3.45479 18.2538 11250 0 11250
0.055 3.53913 3.5187 18.5918 11250 0 11250
0.056 3.60377 3.58259 18.9298 11250 0 11250
0.057 3.66843 3.64649 19.2678 11250 0 11250
0.058 3.73309 3.71038 19.6058 11250 0 11250
0.059 3.79776 3.77427 19.9438 11250 0 11250
0.06 3.86244 3.83816 20.2818 11250 0 11250
0.061 3.92714 3.90204 20.6197 11250 0 11250
0.062 3.99184 3.96592 20.9577 11250 0 11250
0.063 4.05656 4.0298 21.2957 11250 0 11250
0.064 4.12128 4.09368 21.6337 11250 0 11250
0.065 4.18602 4.15755 21.9717 11250 0 11250
0.066 4.25076 4.22142 22.3096 11250 0 11250
0.067 4.31552 4.28529 22.6476 11250 0 11250
0.068 4.38029 4.34915 22.9856 11250 0 11250
0.069 4.44506 4.41301 23.3236 11250 0 11250
0.07 4.50985 4.47687 23.6615 11250 0 11250
0.071 4.57465 4.54073 23.9995 11250 0 11250
0.072 4.63946 4.60458 24.3375 11250 0 11250
0.073 4.70428 4.66843 24.6754 11250 0 11250
0.074 4.76911 4.73228 25.0134 11250 0 11250
0.075 4.83395 4.79613 25.3514 11250 0 11250
0.076 4.8988 4.85997 25.6893 11250 0 11250
0.077 4.96366 4.92381 26.0273 11250 0 11250
0.078 5.02853 4.98764 26.3653 11250 0 11250
0.079 5.09342 5.05148 26.7032 11250 0 11250
0.08 5.15831 5.11531 27.0412 11250 0 11250
0.081 5.22321 5.17914 27.3791 11250 0 11250
0.082 5.28813 5.24296 27.7171 11250 0 11250
0.083 5.35305 5.30678 28.055 11250 0 11250
0.084 5.41798 5.3706 28.393 11250 0 11250
0.085 5.48293 5.43442 28.7309 11250 0 11250
0.086 5.54788 5.49824 29.0689 11250 0 11250
0.087 5.61285 5.56205 29.4068 11250 0 11250
0.088 5.67783 5.62586 29.7448 11250 0 11250
0.089 5.74281 5.68966 30.0827 11250 0 11250
0.09 5.80781 5.75346 30.4207 11250 0 11250
0.091 5.87282 5.81727 30.7586 11250 0 11250
0.092 5.93784 5.88106 31.0965 11250 0 11250
0.093 6.00287 5.94486 31.4345 11250 0 11250
0.094 6.06791 6.00865 31.7724 11250 0 11250
0.095 6.13296 6.07244 32.1103 11250 0 11250
0.096 6.19802 6.13622 32.4483 11250 0 11250
0.097 6.26309 6.20001 32.7862 11250 0 11250
0.098 6.32817 6.26379 33.1241 11250 0 11250
0.099 6.39326 6.32757 33.4621 11250 0 11250
0.1 6.45836 6.39134 33.8 11250 0 11250
0.101 6.52348 6.45511 34.1379 11250 0 11250
0.102 6.5886 6.51888 34.4758 11250 0 11250
0.103 6.65373 6.58265 34.8138 11250 0 11250
