tof posE posN posU tgtE tgtN tgtU
0.119 7.68982 7.60453 40.2214 12500 0 12500
0.12 7.755 7.66828 40.5593 12500 0 12500
0.121 7.8202 7.73203 40.8972 12500 0 12500
0.122 7.8854 7.79578 41.2351 12500 0 12500
0.123 7.95062 7.85953 41.573 12500 0 12500
0.124 8.01584 7.92327 41.9109 12500 0 12500
0.125 8.08108 7.98701 42.2488 12500 0 12500
0.126 8.14632 8.05075 42.5867 12500 0 12500
0.127 8.21157 8.11448 42.9247 12500 0 12500
0.128 8.27683 8.17821 43.2626 12500 0 12500
0.129 8.3421 8.24194 43.6005 12500 0 12500
0.13 8.40738 8.30567 43.9384 12500 0 12500
0.131 8.47267 8.3694 44.2763 12500 0 12500
0.132 8.53797 8.43312 44.6142 12500 0 12500
0.133 8.60328 8.49684 44.9521 12500 0 12500
0.134 8.6686 8.56056 45.29 12500 0 12500
0.135 8.73393 8.62427 45.6278 12500 0 12500
0.136 8.79927 8.68798 45.9657 12500 0 12500
0.137 8.86461 8.75169 46.3036 12500 0 12500
0.138 8.92997 8.8154 46.6415 12500 0 12500
0.139 8.99533 8.87911 46.9794 12500 0 12500
0.14 9.06071 8.94281 47.3173 12500 0 12500
0.141 9.12609 9.00651 47.6552 12500 0 12500
0.142 9.19149 9.07021 47.9931 12500 0 12500
0.143 9.25689 9.1339 48.331 12500 0 12500
0.144 9.3223 9.19759 48.6688 12500 0 12500
0.145 9.38772 9.26128 49.0067 12500 0 12500
0.146 9.45315 9.32497 49.3446 12500 0 12500
0.147 9.5186 9.38865 49.6825 12500 0 12500
0.148 9.58405 9.45234 50.0204 12500 0 12500
0.149 9.64951 9.51602 50.3582 12500 0 12500
0.15 9.71497 9.57969 50.6961 12500 0 12500
0.151 9.78045 9.64337 51.034 12500 0 12500
0.152 9.84594 9.70704 51.3718 12500 0 12500
0.153 9.91144 9.77071 51.7097 12500 0 12500
0.154 9.97695 9.83438 52.0476 12500 0 12500
0.155 10.0425 9.89804 52.3855 12500 0 12500
0.156 10.108 9.9617 52.7233 12500 0 12500
0.157 10.1735 10.0254 53.0612 12500 0 12500
0.158 10.2391 10.089 53.399 12500 0 12500
0.159 10.3046 10.1527 53.7369 12500 0 12500
0.16 10.3702 10.2163 54.0748 12500 0 12500
0.161 10.4358 10.28 54.4126 12500 0 12500
0.162 10.5013 10.3436 54.7505 12500 0 12500
0.163 10.5669 10.4073 55.0883 12500 0 12500
0.164 10.6325 10.4709 55.4262 12500 0 12500
0.165 10.6981 10.5345 55.7641 12500 0 12500
0.166 10.7638 10.5982 56.1019 12500 0 12500
0.167 10.8294 10.6618 56.4398 12500 0 12500
0.168 10.895 10.7254 56.7776 12500 0 12500
0.169 10.9607 10.7891 57.1155 12500 0 12500
0.17 11.0263 10.8527 57.4533 12500 0 12500
0.171 11.092 10.9163 57.7912 12500 0 12500
0.172 11.1577 10.98 58.129 12500 0 12500
0.173 11.2234 11.0436 58.4668 12500 0 12500
0.174 11.2891 11.1072 58.8047 12500 0 12500
0.175 11.3548 11.1708 59.1425 12500 0 12500
0.176 11.4205 11.2344 59.4804 12500 0 12500
0.177 11.4862 11.298 59.8182 12500 0 12500
0.178 11.5519 11.3616 60.156 12500 0 12500
0.179 11.6177 11.4252 60.4939 12500 0 12500
0.18 11.6834 11.4888 60.8317 12500 0 12500
0.181 11.7492 11.5524 61.1695 12500 0 12500
0.182 11.815 11.616 61.5074 12500 0 12500
0.183 11.8807 11.6796 61.8452 12500 0 12500
