tof posE posN posU tgtE tgtN tgtU
0.114 7.45789 7.45789 38.4806 3000 3000 3000
0.115 7.52467 7.52467 38.8176 3000 3000 3000
0.116 7.59148 7.59148 39.1546 3000 3000 3000
0.117 7.65832 7.65832 39.4916 3000 3000 3000
0.118 7.72517 7.72517 39.8286 3000 3000 3000
0.119 7.79205 7.79205 40.1655 3000 3000 3000
0.12 7.85896 7.85896 40.5025 3000 3000 3000
0.121 7.92589 7.92589 40.8395 3000 3000 3000
0.122 7.99284 7.99284 41.1764 3000 3000 3000
0.123 8.05981 8.05981 41.5134 3000 3000 3000
0.124 8.12681 8.12681 41.8503 3000 3000 3000
0.125 8.19384 8.19384 42.1872 3000 3000 3000
0.126 8.26088 8.26088 42.5241 3000 3000 3000
0.127 8.32796 8.32796 42.861 3000 3000 3000
0.128 8.39505 8.39505 43.1979 3000 3000 3000
0.129 8.46217 8.46217 43.5348 3000 3000 3000
0.13 8.52931 8.52931 43.8717 3000 3000 3000
0.131 8.59648 8.59648 44.2085 3000 3000 3000
0.132 8.66367 8.66367 44.5454 3000 3000 3000
0.133 8.73088 8.73088 44.8822 3000 3000 3000
0.134 8.79812 8.79812 45.2191 3000 3000 3000
0.135 8.86538 8.86538 45.5559 3000 3000 3000
0.136 8.93266 8.93266 45.8927 3000 3000 3000
0.137 8.99997 8.99997 46.2295 3000 3000 3000
0.138 9.0673 9.0673 46.5663 3000 3000 3000
0.139 9.13466 9.13466 46.9031 3000 3000 3000
0.14 9.20204 9.20204 47.2399 3000 3000 3000
0.141 9.26944 9.26944 47.5767 3000 3000 3000
0.142 9.33687 9.33687 47.9134 3000 3000 3000
0.143 9.40432 9.40432 48.2502 3000 3000 3000
0.144 9.4718 9.4718 48.5869 3000 3000 3000
0.145 9.53929 9.53929 48.9236 3000 3000 3000
0.146 9.60682 9.60682 49.2604 3000 3000 3000
0.147 9.67436 9.67436 49.5971 3000 3000 3000
0.148 9.74193 9.74193 49.9338 3000 3000 3000
0.149 9.80953 9.80953 50.2705 3000 3000 3000
0.15 9.87714 9.87714 50.6072 3000 3000 3000
0.151 9.94478 9.94478 50.9438 3000 3000 3000
0.152 10.0124 10.0124 51.2805 3000 3000 3000
0.153 10.0801 10.0801 51.6172 3000 3000 3000
0.154 10.1478 10.1478 51.9538 3000 3000 3000
0.155 10.2156 10.2156 52.2904 3000 3000 3000
