tof posE posN posU tgtE tgtN tgtU normComm normAch pitchRate thetaRate pitchDefl alpha theta sideComm sideAch yawRate psiRate yawDefl beta psi rollComm phiRate rollRate rollDefl roll seekPitchErr seekYawErr staticMargin mach
0.0140000000 0.0134843937 0.0023776624 0.0104595719 3000.0000000000 0.0000000000 3000.0000000000 0.0000358783 -0.7660182698 -0.0000279355 -0.0000279355 0.0000000000 3.6727549698 39.9999998862 -0.0000278274 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000001006 -0.0000002262 1.0695921553 0.0045574418
0.0150000000 0.0148654793 0.0026211851 0.0114892150 3000.0000000000 0.0000000000 3000.0000000000 0.0000404885 -0.7660145718 -0.0000331832 -0.0000331832 0.0000000000 3.7136819851 39.9999998557 -0.0000311826 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000000000 0.0000001127 -0.0000002500 1.0677018188 0.0048247884
0.0160000000 0.0163302191 0.0028794582 0.0125803287 3000.0000000000 0.0000000000 3000.0000000000 0.0000456660 -0.7660105085 -0.0000391091 -0.0000391091 0.0000000000 3.7361241331 39.9999998195 -0.0000350087 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000001256 -0.0000002752 1.0665464129 0.0051125161
0.0170000000 0.0178838594 0.0031534069 0.0137373830 3000.0000000000 0.0000000000 3000.0000000000 0.0000514621 -0.7660060546 -0.0000457941 -0.0000457941 0.0000000000 3.7428092230 39.9999997771 -0.0000393531 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000001394 -0.0000003018 1.0660209169 0.0054206297
0.0180000000 0.0195316485 0.0034439566 0.0149648498 3000.0000000000 0.0000000000 3000.0000000000 0.0000579308 -0.7660011848 -0.0000533262 -0.0000533262 0.0000000000 3.7362115836 39.9999997275 -0.0000442666 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000001539 -0.0000003301 1.0660304245 0.0057491357
0.0190000000 0.0212788368 0.0037520330 0.0162672027 3000.0000000000 0.0000000000 3000.0000000000 0.0000651288 -0.7659958743 -0.0000618007 -0.0000618007 0.0000000000 3.7185385790 39.9999996700 -0.0000498035 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000001694 -0.0000003601 1.0664903916 0.0060980417
0.0200000000 0.0231306769 0.0040785624 0.0176489172 3000.0000000000 0.0000000000 3000.0000000000 0.0000731153 -0.7659900988 -0.0000713210 -0.0000713210 0.0000000000 3.6917329971 39.9999996034 -0.0000560215 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000001857 -0.0000003919 1.0673263730 0.0064673565
0.0210000000 0.0250924234 0.0044244713 0.0191144706 3000.0000000000 0.0000000000 3000.0000000000 0.0000819522 -0.7659838340 -0.0000819982 -0.0000819982 0.0000000000 3.6574858360 39.9999995267 -0.0000629817 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000002030 -0.0000004255 1.0684734352 0.0068570891
0.0220000000 0.0271693331 0.0047906865 0.0206683420 3000.0000000000 0.0000000000 3000.0000000000 0.0000917040 -0.7659770561 -0.0000939519 -0.0000939519 0.0000000000 3.6172552861 39.9999994388 -0.0000707484 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000002212 -0.0000004612 1.0698753848 0.0072672496
0.0230000000 0.0293666649 0.0051781354 0.0223150123 3000.0000000000 0.0000000000 3000.0000000000 0.0001024378 -0.7659697419 -0.0001073106 -0.0001073106 0.0000000000 3.5722888407 39.9999993381 -0.0000793897 -0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000000 10.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000002404 -0.0000004990 1.0714839126 0.0076978480
