TOF E N U TGT_E TGT_N TGT_U
0.0 0.0 0.0 0.0 3000.0 0.0 3000.0
0.01 1.5000004430094684 0.49999884300815517 3.000000585693842 3000.0 0.0 3000.0
0.02 3.003714144531341 0.9985065681294445 5.998807894554408 3000.0 0.0 3000.0
0.03 4.511135398536911 1.4955241801499117 8.99641973161951 3000.0 0.0 3000.0
0.04 6.0222584905751475 1.9910526917860825 11.992833923508647 3000.0 0.0 3000.0
0.05 7.537077700667491 2.485093123739874 14.988048317057954 3000.0 0.0 3000.0
0.060000000000000005 9.055587303754868 2.9776465045082805 17.982060777281806 3000.0 0.0 3000.0
0.07 10.577781565266001 3.468713869537878 20.97486919509672 3000.0 0.0 3000.0
0.08 12.10365474919617 3.958296262407067 23.9664714750733 3000.0 0.0 3000.0
0.09 13.633201107627466 4.446394734496523 26.956865549179195 3000.0 0.0 3000.0
0.09999999999999999 15.166414891892844 4.933010344165885 29.946049365155414 3000.0 0.0 3000.0
0.10999999999999999 16.703290344366817 5.418144158140686 32.93402089299076 3000.0 0.0 3000.0
0.11999999999999998 18.24382170074962 5.901797250623106 35.920778125798236 3000.0 0.0 3000.0
0.12999999999999998 19.78800319459982 6.383970702322063 38.90631907270816 3000.0 0.0 3000.0
0.13999999999999999 21.335829051210208 6.864665602085504 41.890641765723764 3000.0 0.0 3000.0
0.15 22.887293490742273 7.343883046973615 44.87374425731668 3000.0 0.0 3000.0
0.16 24.442390727899134 7.821624139989608 47.8556246208329 3000.0 0.0 3000.0
0.17 26.001114971320757 8.297889992557597 50.8362809505012 3000.0 0.0 3000.0
0.18000000000000002 27.563460424954872 8.772681723197643 53.81571136047446 3000.0 0.0 3000.0
0.19000000000000003 29.129421290401083 9.246000457145088 56.793913981921854 3000.0 0.0 3000.0
0.20000000000000004 30.69899175853275 9.717847328118287 59.77088697416459 3000.0 0.0 3000.0
0.21000000000000005 32.27216601922166 10.18822347592513 62.74662851112793 3000.0 0.0 3000.0
0.22000000000000006 33.848938255764494 10.657130048530716 65.72113678973957 3000.0 0.0 3000.0
0.23000000000000007 35.42930264727054 11.124568200333677 68.69441002622587 3000.0 0.0 3000.0
0.24000000000000007 37.01325336898069 11.590539093509294 71.66644645719994 3000.0 0.0 3000.0
0.25000000000000006 38.6007845886725 12.055043897255578 74.6372443418959 3000.0 0.0 3000.0
0.26000000000000006 40.191890472468415 12.518083787258893 77.60680195718918 3000.0 0.0 3000.0
0.2700000000000001 41.78656518045315 12.979659946927326 80.57511760229164 3000.0 0.0 3000.0
0.2800000000000001 43.38480286919251 13.439773566574617 83.54218959488524 3000.0 0.0 3000.0
0.2900000000000001 44.98659768863684 13.89842584351885 86.50801627718921 3000.0 0.0 3000.0
0.3000000000000001 46.59194378738733 14.355617982038641 89.47259600794331 3000.0 0.0 3000.0
0.3100000000000001 48.200835309081555 14.811351193263254 92.43592716689164 3000.0 0.0 3000.0
0.3200000000000001 49.81326639335894 15.26562669519096 95.39800815432739 3000.0 0.0 3000.0
0.3300000000000001 51.42923117472107 15.718445713106302 98.35883739250635 3000.0 0.0 3000.0
0.34000000000000014 53.04872378438293 16.169809478291533 101.31841332260908 3000.0 0.0 3000.0
0.35000000000000014 54.67173835068973 16.619719230051036 104.27673440570733 3000.0 0.0 3000.0
0.36000000000000015 56.29826899701569 17.068176213613643 107.23379912537118 3000.0 0.0 3000.0
0.37000000000000016 57.92830984442146 17.515181681150597 110.18960598214633 3000.0 0.0 3000.0
0.38000000000000017 59.56185500978741 17.960736891211575 113.14415349958014 3000.0 0.0 3000.0
0.3900000000000002 61.198898605129585 18.404843109877643 116.09744022210228 3000.0 0.0 3000.0
0.4000000000000002 62.83943474251908 18.847501609092493 119.04946470966378 3000.0 0.0 3000.0
0.4100000000000002 64.48345752639683 19.288713668202938 122.00022554949783 3000.0 0.0 3000.0
0.4200000000000002 66.13096106149878 19.72848057243676 124.94972134331938 3000.0 0.0 3000.0
0.4300000000000002 67.78193944691218 20.166803614044397 127.89795071692546 3000.0 0.0 3000.0
0.4400000000000002 69.43638678328159 20.60368409072152 130.84491231051322 3000.0 0.0 3000.0
0.45000000000000023 71.09429716149302 21.039123308665083 133.79060479197682 3000.0 0.0 3000.0
0.46000000000000024 72.75566467437697 21.473122578818405 136.7350268453564 3000.0 0.0 3000.0
0.47000000000000025 74.42048341167504 21.905683219484093 139.678177173373 3000.0 0.0 3000.0
0.48000000000000026 76.08874745788614 22.336806554644248 142.6200545023263 3000.0 0.0 3000.0
0.49000000000000027 77.76045089704253 22.766493915450088 145.56065757691186 3000.0 0.0 3000.0
0.5000000000000002 79.43558781115311 23.19474663861536 148.49998516066842 3000.0 0.0 3000.0
0.5100000000000002 81.11415227832019 23.621566067477378 151.43803603905607 3000.0 0.0 3000.0
0.5200000000000002 82.79613837358215 24.046953552033994 154.37480901766955 3000.0 0.0 3000.0
0.5300000000000002 84.48154017218107 24.47091044742811 157.31030292040995 3000.0 0.0 3000.0
0.5400000000000003 86.17035174525405 24.893438116561143 160.2445165926045 3000.0 0.0 3000.0
0.5500000000000003 87.86256716281477 25.314537927461163 163.17744889804965 3000.0 0.0 3000.0
0.5600000000000003 89.55818049240743 25.734211253909187 166.1090987214232 3000.0 0.0 3000.0
0.5700000000000003 91.25718579990529 26.152459476818667 169.0394649672935 3000.0 0.0 3000.0
0.5800000000000003 92.95957714774757 26.569283982837522 171.96854656156535 3000.0 0.0 3000.0
0.5900000000000003 94.66534859948528 26.984686164249208 174.8963424465818 3000.0 0.0 3000.0
