TOF E N U TGT_E TGT_N TGT_U
0.0 0.0 0.0 0.0 3000.0 0.0 3000.0
0.01 1.5 0.5 3.0 3000.0 0.0 3000.0
0.02 3.0029713304003134 0.9985925277051148 5.997767913515657 3000.0 0.0 3000.0
0.03 4.508906652929238 1.4957787565106897 8.993302687046468 3000.0 0.0 3000.0
0.04 6.017798629676247 1.9915598661590994 11.9866032873002 3000.0 0.0 3000.0
0.05 7.5296399231784195 2.485937042710205 14.977668701161969 3000.0 0.0 3000.0
0.060000000000000005 9.04442319650657 2.9789114785117583 17.966497935662908 3000.0 0.0 3000.0
0.07 10.562141113351066 3.470484372169757 20.95309001794848 3000.0 0.0 3000.0
0.08 12.082786338107342 3.960656928518749 23.937443995246394 3000.0 0.0 3000.0
0.09 13.606351535961089 4.44943035859209 26.91955893483415 3000.0 0.0 3000.0
0.09999999999999999 15.132829372973141 4.936805879592153 29.89943392400622 3000.0 0.0 3000.0
0.10999999999999999 16.662212516164043 5.422784714860493 32.877068070040835 3000.0 0.0 3000.0
0.11999999999999998 18.194493633598295 5.907368093847968 35.85246050016644 3000.0 0.0 3000.0
0.12999999999999998 19.729665394468288 6.390557252084817 38.82561036152772 3000.0 0.0 3000.0
0.13999999999999999 21.267720469177906 6.872353431150697 41.796516821151364 3000.0 0.0 3000.0
0.15 22.808651529425813 7.352757878644672 44.76517906591135 3000.0 0.0 3000.0
0.16 24.35245124828841 7.831771848155178 47.73159630249396 3000.0 0.0 3000.0
0.17 25.899112300302477 8.309396599229935 50.695767757362425 3000.0 0.0 3000.0
0.18000000000000002 27.44862736154746 8.78563339734583 53.657692676721155 3000.0 0.0 3000.0
0.19000000000000003 29.000989109727453 9.260483513878764 56.617370326479715 3000.0 0.0 3000.0
0.20000000000000004 30.55619022425285 9.733948226073464 59.57479999221638 3000.0 0.0 3000.0
0.21000000000000005 32.11422338632163 10.206028817013259 62.529980979141364 3000.0 0.0 3000.0
0.22000000000000006 33.675081279000366 10.676726575589829 65.48291261205975 3000.0 0.0 3000.0
0.23000000000000007 35.23875658730482 11.146042796472923 68.433594235334 3000.0 0.0 3000.0
0.24000000000000007 36.80524199828026 11.613978780080041 71.38202521284619 3000.0 0.0 3000.0
0.25000000000000006 38.37453020108143 12.080535832546097 74.32820492795992 3000.0 0.0 3000.0
0.26000000000000006 39.946613887052145 12.545715265693053 77.27213278348184 3000.0 0.0 3000.0
0.2700000000000001 41.52148574980458 13.009518396999518 80.21380820162287 3000.0 0.0 3000.0
0.2800000000000001 43.0991384852982 13.471946549570333 83.15323062395912 3000.0 0.0 3000.0
0.2900000000000001 44.679564791918324 13.933001052106135 86.09039951139245 3000.0 0.0 3000.0
0.3000000000000001 46.26275737055439 14.392683238872886 89.02531434411073 3000.0 0.0 3000.0
0.3100000000000001 47.84870892467783 14.850994449671388 91.95797462154778 3000.0 0.0 3000.0
0.3200000000000001 49.4374121604196 15.307936029806786 94.888379862343 3000.0 0.0 3000.0
0.3300000000000001 51.028859786647374 15.763509330058039 97.81652960430068 3000.0 0.0 3000.0
0.34000000000000014 52.62304451504239 16.217715706647375 100.742423404349 3000.0 0.0 3000.0
0.35000000000000014 54.21995906017591 16.67055652120975 103.66606083849868 3000.0 0.0 3000.0
0.36000000000000015 55.819596139585364 17.12203314076226 106.58744150180148 3000.0 0.0 3000.0
0.37000000000000016 57.421948473850115 17.57214693767356 109.50656500830817 3000.0 0.0 3000.0
0.38000000000000017 59.02700878666686 18.02089928963327 112.42343099102642 3000.0 0.0 3000.0
0.3900000000000002 60.634769804924694 18.46829157962136 115.33803910187822 3000.0 0.0 3000.0
0.4000000000000002 62.24522425877979 18.914325195877538 118.25038901165713 3000.0 0.0 3000.0
0.4100000000000002 63.85836488172977 19.3590015318706 121.1604804099852 3000.0 0.0 3000.0
0.4200000000000002 65.47418441068761 19.802321986267817 124.06831300526954 3000.0 0.0 3000.0
0.4300000000000002 67.09267558605532 20.244287962904274 126.97388652465875 3000.0 0.0 3000.0
0.4400000000000002 68.71383115179712 20.684900870752216 129.8772007139989 3000.0 0.0 3000.0
0.45000000000000023 70.33764385551238 21.12416212389041 132.7782553377893 3000.0 0.0 3000.0
0.46000000000000024 71.96410644850808 21.562073141473466 135.6770501791381 3000.0 0.0 3000.0
0.47000000000000025 73.59321168587095 21.998635347701182 138.57358503971744 3000.0 0.0 3000.0
0.48000000000000026 75.22495232653934 22.43385017178788 141.46785973971845 3000.0 0.0 3000.0
0.49000000000000027 76.85932113337448 22.867719047931747 144.3598741178059 3000.0 0.0 3000.0
0.5000000000000002 78.49631087323165 23.300243415284154 147.24962803107266 3000.0 0.0 3000.0
0.5100000000000002 80.13591431703077 23.731424717919015 150.13712135499387 3000.0 0.0 3000.0
0.5200000000000002 81.7781242398267 24.161264404802115 153.02235398338078 3000.0 0.0 3000.0
0.5300000000000002 83.42293342087919 24.589763929760455 155.9053258283345 3000.0 0.0 3000.0
0.5400000000000003 85.07033464372242 25.016924751451608 158.78603682019929 3000.0 0.0 3000.0
0.5500000000000003 86.72032069623415 25.442748333333068 161.6644869075158 3000.0 0.0 3000.0
0.5600000000000003 88.37288437070454 25.867236143631615 164.54067605697384 3000.0 0.0 3000.0
0.5700000000000003 90.02801846390457 26.290389655312683 167.41460425336516 3000.0 0.0 3000.0
0.5800000000000003 91.68571577715409 26.712210346049744 170.2862714995357 3000.0 0.0 3000.0
0.5900000000000003 93.34596911638947 27.132699698193694 173.15567781633794 3000.0 0.0 3000.0
