TOF RNG CROSSRNG ALT PHI THETA PSI ROLLRATE PITCHRATE YAWRATE ALPHA BETA ALPHADOT BETADOT PDOT QDOT RDOT UDOT VDOT WDOT
0.0450 14.9364 -0.0000 10000.2282 0.5241 0.0174 -0.0000 27.1722 -0.0026 -0.0002 0.0042 0.0006 0.0711 0.0427 723.4878 -0.1300 -0.0185 2002.8195 -16.0563 -27.6122
0.0467 15.5634 -0.0000 10000.2367 0.5703 0.0174 -0.0000 28.3787 -0.0028 -0.0002 0.0044 0.0007 0.0681 0.0456 724.2572 -0.1361 -0.0212 2007.4114 -17.3223 -26.8267
0.0483 16.1960 -0.0000 10000.2452 0.6186 0.0174 -0.0000 29.5864 -0.0031 -0.0002 0.0045 0.0008 0.0650 0.0485 725.0129 -0.1421 -0.0241 2012.0068 -18.6033 -25.9457
0.0500 16.8342 -0.0000 10000.2537 0.6690 0.0174 -0.0000 30.7954 -0.0033 -0.0003 0.0046 0.0008 0.0616 0.0514 725.7550 -0.1482 -0.0272 2016.6059 -19.8911 -24.9635
0.0517 17.4780 -0.0000 10000.2622 0.7213 0.0174 -0.0000 32.0056 -0.0036 -0.0003 0.0047 0.0009 0.0580 0.0542 726.4834 -0.1542 -0.0306 2021.2085 -21.1766 -23.8747
0.0533 18.1274 -0.0000 10000.2708 0.7757 0.0174 -0.0000 33.2170 -0.0038 -0.0004 0.0048 0.0010 0.0541 0.0570 727.1979 -0.1602 -0.0343 2025.8147 -22.4498 -22.6745
0.0550 18.7824 -0.0000 10000.2793 0.8320 0.0174 -0.0000 34.4296 -0.0041 -0.0004 0.0048 0.0011 0.0500 0.0596 727.8985 -0.1660 -0.0382 2030.4245 -23.6997 -21.3586
0.0567 19.4431 -0.0000 10000.2878 0.8904 0.0174 -0.0000 35.6433 -0.0044 -0.0005 0.0049 0.0012 0.0457 0.0621 728.5851 -0.1718 -0.0424 2035.0379 -24.9145 -19.9236
0.0583 20.1095 -0.0000 10000.2964 0.9508 0.0174 -0.0000 36.8582 -0.0047 -0.0006 0.0050 0.0013 0.0411 0.0644 729.2576 -0.1775 -0.0469 2039.6549 -26.0813 -18.3669
0.0600 20.7814 -0.0000 10000.3050 1.0133 0.0174 -0.0001 38.0742 -0.0050 -0.0007 0.0051 0.0014 0.0362 0.0665 729.9159 -0.1830 -0.0517 2044.2754 -27.1866 -16.6871
0.0617 21.4591 -0.0000 10000.3136 1.0777 0.0174 -0.0001 39.2912 -0.0053 -0.0008 0.0051 0.0015 0.0312 0.0683 730.5600 -0.1883 -0.0567 2048.8995 -28.2159 -14.8838
0.0633 22.1425 -0.0001 10000.3221 1.1442 0.0174 -0.0001 40.5079 -0.0056 -0.0009 0.0052 0.0017 0.0259 0.0699 728.9248 -0.1934 -0.0620 2047.6009 -29.1540 -12.9583
0.0650 22.8316 -0.0001 10000.3307 1.2128 0.0174 -0.0001 41.7210 -0.0059 -0.0010 0.0052 0.0018 0.0204 0.0713 726.7106 -0.1982 -0.0675 2044.8182 -29.9850 -10.9134
0.0667 23.5263 -0.0001 10000.3393 1.2833 0.0174 -0.0001 42.9303 -0.0063 -0.0011 0.0052 0.0019 0.0146 0.0722 724.4838 -0.2028 -0.0733 2042.0322 -30.6926 -8.7539
0.0683 24.2267 -0.0001 10000.3480 1.3559 0.0174 -0.0001 44.1359 -0.0066 -0.0012 0.0053 0.0020 0.0088 0.0729 722.2443 -0.2071 -0.0793 2039.2429 -31.2602 -6.4864
0.0700 24.9328 -0.0001 10000.3566 1.4304 0.0174 -0.0001 45.3378 -0.0070 -0.0014 0.0053 0.0021 0.0027 0.0731 719.9923 -0.2110 -0.0855 2036.4504 -31.6711 -4.1195
0.0717 25.6445 -0.0001 10000.3652 1.5070 0.0174 -0.0001 46.5359 -0.0073 -0.0015 0.0053 0.0023 -0.0034 0.0729 717.7279 -0.2145 -0.0919 2033.6546 -31.9088 -1.6641
0.0733 26.3619 -0.0001 10000.3739 1.5856 0.0174 -0.0001 47.7302 -0.0077 -0.0017 0.0053 0.0024 -0.0097 0.0723 715.4510 -0.2177 -0.0984 2030.8555 -31.9573 0.8667
0.0750 27.0849 -0.0002 10000.3825 1.6661 0.0174 -0.0002 48.9207 -0.0080 -0.0018 0.0052 0.0025 -0.0160 0.0712 713.1617 -0.2204 -0.1051 2028.0532 -31.8012 3.4575
0.0767 27.8136 -0.0002 10000.3912 1.7486 0.0174 -0.0002 50.1074 -0.0084 -0.0020 0.0052 0.0026 -0.0223 0.0696 710.8602 -0.2227 -0.1118 2025.2475 -31.4261 6.0903
0.0783 28.5479 -0.0002 10000.3999 1.8331 0.0174 -0.0002 51.2902 -0.0088 -0.0022 0.0052 0.0027 -0.0286 0.0675 708.5464 -0.2245 -0.1186 2022.4386 -30.8190 8.7448
0.0800 29.2878 -0.0002 10000.4086 1.9196 0.0174 -0.0002 52.4692 -0.0092 -0.0024 0.0051 0.0028 -0.0347 0.0648 706.2205 -0.2258 -0.1254 2019.6263 -29.9687 11.3985
0.0817 30.0333 -0.0003 10000.4172 2.0080 0.0174 -0.0002 53.6443 -0.0095 -0.0026 0.0050 0.0030 -0.0408 0.0617 703.8824 -0.2266 -0.1321 2016.8108 -28.8660 14.0264
0.0833 30.7844 -0.0003 10000.4259 2.0984 0.0174 -0.0002 54.8155 -0.0099 -0.0028 0.0050 0.0031 -0.0466 0.0580 701.5323 -0.2269 -0.1387 2013.9920 -27.5042 16.6012
0.0850 31.5412 -0.0003 10000.4347 2.1907 0.0174 -0.0002 55.9827 -0.0103 -0.0031 0.0049 0.0031 -0.0522 0.0537 699.1703 -0.2267 -0.1452 2011.1698 -25.8795 19.0940
0.0867 32.3035 -0.0003 10000.4434 2.2850 0.0174 -0.0002 57.1460 -0.0107 -0.0033 0.0048 0.0032 -0.0574 0.0489 696.7963 -0.2260 -0.1515 2008.3444 -23.9912 21.4738
0.0883 33.0713 -0.0004 10000.4521 2.3812 0.0175 -0.0002 58.3054 -0.0110 -0.0036 0.0047 0.0033 -0.0623 0.0436 694.4105 -0.2248 -0.1575 2005.5156 -21.8427 23.7086
0.0900 33.8448 -0.0004 10000.4608 2.4794 0.0175 -0.0003 59.4607 -0.0114 -0.0039 0.0046 0.0034 -0.0667 0.0379 692.0129 -0.2230 -0.1632 2002.6835 -19.4408 25.7651
0.0917 34.6238 -0.0005 10000.4696 2.5794 0.0175 -0.0003 60.6121 -0.0118 -0.0041 0.0045 0.0034 -0.0706 0.0317 689.6037 -0.2208 -0.1685 1999.8482 -16.7971 27.6097
0.0933 35.4084 -0.0005 10000.4783 2.6814 0.0175 -0.0003 61.7594 -0.0122 -0.0044 0.0044 0.0035 -0.0740 0.0251 687.1827 -0.2182 -0.1734 1997.0095 -13.9276 29.2086
0.0950 36.1985 -0.0006 10000.4871 2.7853 0.0175 -0.0003 62.9027 -0.0125 -0.0047 0.0042 0.0035 -0.0767 0.0181 684.7502 -0.2152 -0.1779 1994.1675 -10.8532 30.5288
0.0967 36.9942 -0.0006 10000.4958 2.8911 0.0176 -0.0003 64.0419 -0.0129 -0.0050 0.0041 0.0035 -0.0787 0.0109 682.3062 -0.2117 -0.1818 1991.3223 -7.5996 31.5386
0.0983 37.7954 -0.0007 10000.5046 2.9988 0.0176 -0.0003 65.1770 -0.0132 -0.0053 0.0040 0.0036 -0.0800 0.0034 679.8508 -0.2080 -0.1851 1988.4737 -4.1978 32.2081
0.1000 38.6021 -0.0007 10000.5134 3.1083 0.0176 -0.0003 66.3081 -0.0136 -0.0056 0.0038 0.0036 -0.0805 -0.0042 677.3840 -0.2040 -0.1878 1985.6219 -0.6835 32.5104
0.1017 39.4143 -0.0008 10000.5222 3.2198 0.0176 -0.0002 67.4350 -0.0139 -0.0059 0.0037 0.0035 -0.0802 -0.0119 674.9059 -0.1998 -0.1898 1982.7668 2.9025 32.4221
0.1033 40.2321 -0.0009 10000.5309 3.3331 0.0177 -0.0002 68.5577 -0.0142 -0.0063 0.0036 0.0035 -0.0791 -0.0195 672.4165 -0.1955 -0.1911 1979.9085 6.5152 31.9243
0.1050 41.0553 -0.0009 10000.5397 3.4483 0.0177 -0.0002 69.6763 -0.0146 -0.0066 0.0034 0.0035 -0.0771 -0.0270 669.9160 -0.1912 -0.1918 1977.0470 10.1051 31.0032
0.1067 41.8840 -0.0010 10000.5485 3.5654 0.0177 -0.0002 70.7908 -0.0149 -0.0069 0.0033 0.0034 -0.0743 -0.0342 667.4044 -0.1869 -0.1917 1974.1822 13.6194 29.6511
0.1083 42.7183 -0.0011 10000.5574 3.6843 0.0177 -0.0002 71.9010 -0.0152 -0.0072 0.0032 0.0034 -0.0707 -0.0411 664.8818 -0.1827 -0.1908 1971.3143 17.0022 27.8673
0.1100 43.5580 -0.0011 10000.5662 3.8050 0.0177 -0.0001 73.0071 -0.0155 -0.0075 0.0031 0.0033 -0.0662 -0.0475 662.3483 -0.1787 -0.1893 1968.4431 20.1958 25.6583
0.1117 44.4031 -0.0012 10000.5750 3.9276 0.0177 -0.0001 74.1088 -0.0158 -0.0078 0.0030 0.0032 -0.0611 -0.0533 659.8038 -0.1751 -0.1871 1965.5688 23.1413 23.0389
0.1133 45.2537 -0.0013 10000.5838 4.0521 0.0177 -0.0001 75.2064 -0.0161 -0.0082 0.0029 0.0031 -0.0552 -0.0585 657.2486 -0.1718 -0.1842 1962.6912 25.7800 20.0325
0.1150 46.1098 -0.0013 10000.5926 4.1783 0.0178 -0.0001 76.2997 -0.0163 -0.0085 0.0028 0.0030 -0.0487 -0.0629 654.6826 -0.1690 -0.1807 1959.8106 28.0546 16.6714
0.1167 46.9714 -0.0014 10000.6015 4.3064 0.0178 -0.0000 77.3887 -0.0166 -0.0088 0.0027 0.0029 -0.0417 -0.0664 652.1059 -0.1667 -0.1766 1956.9267 29.9105 12.9969
0.1183 47.8383 -0.0015 10000.6103 4.4363 0.0177 0.0000 78.4733 -0.0169 -0.0090 0.0026 0.0028 -0.0343 -0.0690 649.5187 -0.1651 -0.1721 1954.0397 31.2973 9.0594
0.1200 48.7107 -0.0016 10000.6192 4.5680 0.0177 0.0000 79.5537 -0.0172 -0.0093 0.0026 0.0027 -0.0265 -0.0706 646.9209 -0.1642 -0.1672 1951.1496 32.1703 4.9181
0.1217 49.5885 -0.0016 10000.6280 4.7015 0.0177 0.0001 80.6297 -0.0174 -0.0096 0.0026 0.0026 -0.0187 -0.0711 644.3127 -0.1640 -0.1620 1948.2563 32.4923 0.6401
0.1233 50.4717 -0.0017 10000.6369 4.8368 0.0177 0.0001 81.7014 -0.0177 -0.0099 0.0025 0.0024 -0.0108 -0.0705 641.6941 -0.1646 -0.1566 1945.3599 32.2345 -3.6997
0.1250 51.3604 -0.0018 10000.6458 4.9738 0.0177 0.0001 82.7687 -0.0180 -0.0101 0.0025 0.0023 -0.0030 -0.0688 639.0652 -0.1660 -0.1512 1942.4603 31.3787 -8.0207
0.1267 52.2544 -0.0018 10000.6546 5.1127 0.0177 0.0001 83.8316 -0.0183 -0.0104 0.0025 0.0022 0.0045 -0.0660 636.4261 -0.1682 -0.1459 1939.5575 29.9181 -12.2368
0.1283 53.1538 -0.0019 10000.6635 5.2533 0.0176 0.0002 84.8901 -0.0186 -0.0106 0.0025 0.0021 0.0115 -0.0621 633.7768 -0.1713 -0.1407 1936.6516 27.8585 -16.2590
0.1300 54.0586 -0.0020 10000.6724 5.3956 0.0176 0.0002 85.9442 -0.0188 -0.0108 0.0026 0.0020 0.0179 -0.0572 631.1174 -0.1751 -0.1358 1933.7424 25.2197 -19.9970
0.1317 54.9688 -0.0020 10000.6813 5.5397 0.0176 0.0002 86.9939 -0.0191 -0.0111 0.0026 0.0019 0.0235 -0.0513 628.4481 -0.1797 -0.1315 1930.8301 22.0357 -23.3610
0.1333 55.8843 -0.0021 10000.6902 5.6856 0.0175 0.0002 88.0390 -0.0194 -0.0113 0.0026 0.0018 0.0282 -0.0446 625.7688 -0.1850 -0.1276 1927.9144 18.3551 -26.2645
0.1350 56.8052 -0.0021 10000.6991 5.8332 0.0175 0.0002 89.0797 -0.0198 -0.0115 0.0027 0.0018 0.0319 -0.0372 623.0796 -0.1908 -0.1245 1924.9955 14.2412 -28.6266
0.1367 57.7314 -0.0022 10000.7080 5.9825 0.0174 0.0002 90.1160 -0.0201 -0.0117 0.0027 0.0017 0.0344 -0.0292 620.3807 -0.1970 -0.1222 1922.0733 9.7716 -30.3745
0.1383 58.6630 -0.0022 10000.7169 6.1336 0.0174 0.0002 91.1477 -0.0204 -0.0119 0.0028 0.0017 0.0357 -0.0209 617.6721 -0.2037 -0.1207 1919.1478 5.0370 -31.4464
0.1400 59.5999 -0.0023 10000.7258 0.0032 0.0174 0.0002 92.1749 -0.0208 -0.0121 0.0029 0.0016 0.0356 -0.0123 614.9538 -0.2105 -0.1202 1916.2189 0.1400 -31.7935
0.1417 60.5421 -0.0023 10000.7347 0.1577 0.0173 0.0001 93.1975 -0.0211 -0.0123 0.0029 0.0016 0.0342 -0.0038 612.2260 -0.2173 -0.1207 1913.2866 -4.8069 -31.3828
0.1433 61.4896 -0.0024 10000.7437 0.3138 0.0173 0.0001 94.2156 -0.0215 -0.0125 0.0030 0.0016 0.0315 0.0045 609.4888 -0.2240 -0.1222 1910.3509 -9.6834 -30.1989
0.1450 62.4425 -0.0024 10000.7526 0.4717 0.0173 0.0001 95.2291 -0.0219 -0.0127 0.0030 0.0016 0.0274 0.0123 606.7421 -0.2304 -0.1247 1907.4117 -14.3647 -28.2462
0.1467 63.4006 -0.0025 10000.7615 0.6313 0.0173 0.0000 96.2381 -0.0222 -0.0129 0.0031 0.0017 0.0221 0.0196 603.9861 -0.2363 -0.1283 1904.4690 -18.7242 -25.5498
0.1483 64.3641 -0.0025 10000.7704 0.7925 0.0173 -0.0000 97.2424 -0.0226 -0.0131 0.0031 0.0017 0.0156 0.0259 601.2209 -0.2415 -0.1327 1901.5228 -22.6376 -22.1565
0.1500 65.3328 -0.0026 10000.7794 0.9554 0.0172 -0.0001 98.2421 -0.0231 -0.0134 0.0031 0.0017 0.0081 0.0312 598.4465 -0.2459 -0.1380 1898.5731 -25.9861 -18.1352
0.1517 66.3068 -0.0026 10000.7883 1.1200 0.0172 -0.0001 99.2372 -0.0235 -0.0136 0.0031 0.0018 -0.0003 0.0353 595.6630 -0.2494 -0.1439 1895.6198 -28.6611 -13.5758
0.1533 67.2861 -0.0027 10000.7973 1.2862 0.0173 -0.0001 100.2277 -0.0239 -0.0138 0.0031 0.0019 -0.0093 0.0380 592.8705 -0.2517 -0.1505 1892.6629 -30.5676 -8.5887
0.1550 68.2706 -0.0027 10000.8062 1.4541 0.0173 -0.0002 101.2135 -0.0243 -0.0141 0.0031 0.0019 -0.0187 0.0393 590.0691 -0.2527 -0.1574 1889.7025 -31.6285 -3.3022
0.1567 69.2604 -0.0028 10000.8151 1.6236 0.0173 -0.0002 102.1946 -0.0247 -0.0144 0.0031 0.0020 -0.0283 0.0390 587.2588 -0.2525 -0.1645 1886.7385 -31.7883 2.1398
0.1583 70.2554 -0.0028 10000.8241 1.7947 0.0173 -0.0003 103.1710 -0.0251 -0.0146 0.0030 0.0021 -0.0378 0.0372 584.4398 -0.2509 -0.1716 1883.7709 -31.0157 7.5820
0.1600 71.2556 -0.0029 10000.8330 1.9675 0.0174 -0.0003 104.1427 -0.0256 -0.0149 0.0029 0.0021 -0.0469 0.0338 581.6120 -0.2479 -0.1785 1880.7998 -29.3072 12.8612
0.1617 72.2611 -0.0029 10000.8420 2.1418 0.0174 -0.0003 105.1097 -0.0260 -0.0152 0.0028 0.0022 -0.0554 0.0289 578.7757 -0.2436 -0.1849 1877.8251 -26.6884 17.8118
