TOF RNG CROSSRNG ALT PHI THETA PSI ROLLRATE PITCHRATE YAWRATE ALPHA BETA ALPHADOT BETADOT PDOT QDOT RDOT UDOT VDOT WDOT
2.8800 5690.5692 -2.6290 9967.2843 2.5237 0.0168 0.0055 -130.5457 0.0525 0.0205 -0.0017 -0.0008 0.0416 0.0308 45.7265 2.6846 1.2636 -278.1449 -20.9094 22.3667
2.8817 5693.9813 -2.6338 9967.1909 2.3062 0.0167 0.0056 -130.4695 0.0569 0.0226 -0.0017 -0.0008 0.0482 0.0353 45.7025 2.5746 1.1816 -278.0559 -25.9748 17.8944
2.8833 5697.3925 -2.6386 9967.0974 2.0888 0.0166 0.0056 -130.3934 0.0611 0.0245 -0.0016 -0.0007 0.0551 0.0391 45.6785 2.4475 1.0890 -277.9670 -29.8949 12.4333
2.8850 5700.8030 -2.6434 9967.0039 1.8715 0.0166 0.0057 -130.3173 0.0651 0.0262 -0.0015 -0.0006 0.0620 0.0421 45.6545 2.3028 0.9878 -277.8785 -32.4828 6.2519
2.8867 5704.2127 -2.6482 9966.9102 1.6544 0.0165 0.0058 -130.2412 0.0688 0.0278 -0.0014 -0.0006 0.0690 0.0442 45.6303 2.1404 0.8799 -277.7905 -33.6144 -0.3479
2.8883 5707.6216 -2.6529 9966.8165 1.4374 0.0165 0.0059 -130.1652 0.0722 0.0292 -0.0013 -0.0005 0.0757 0.0454 45.6061 1.9607 0.7679 -277.7031 -33.2338 -7.0449
2.8900 5711.0298 -2.6577 9966.7226 1.2205 0.0164 0.0060 -130.0892 0.0753 0.0303 -0.0011 -0.0004 0.0819 0.0457 45.5819 1.7645 0.6539 -277.6167 -31.3561 -13.5137
2.8917 5714.4371 -2.6625 9966.6286 1.0038 0.0164 0.0062 -130.0132 0.0781 0.0313 -0.0010 -0.0003 0.0876 0.0451 45.5576 1.5530 0.5402 -277.5312 -28.0661 -19.4402
2.8933 5717.8438 -2.6672 9966.5345 0.7871 0.0165 0.0063 -129.9373 0.0805 0.0321 -0.0008 -0.0003 0.0925 0.0436 45.5333 1.3280 0.4291 -277.4467 -23.5141 -24.5360
2.8950 5721.2496 -2.6720 9966.4403 0.5706 0.0166 0.0064 -129.8614 0.0825 0.0328 -0.0007 -0.0002 0.0965 0.0415 45.5090 1.0917 0.3223 -277.3632 -17.9090 -28.5524
2.8967 5724.6547 -2.6768 9966.3460 0.3543 0.0167 0.0066 -129.7856 0.0842 0.0332 -0.0005 -0.0001 0.0995 0.0388 45.4836 0.8464 0.2215 -277.2806 -11.5078 -31.2910
2.8983 5728.0590 -2.6816 9966.2516 0.1380 0.0168 0.0066 -129.7098 0.0854 0.0335 -0.0003 -0.0001 0.1013 0.0358 45.4507 0.5948 0.1280 -277.1988 -4.6037 -32.6137
2.9000 5731.4626 -2.6864 9966.1571 6.3613 0.0169 0.0067 -129.6341 0.0861 0.0336 -0.0002 -0.0000 0.1020 0.0349 45.4178 0.3398 0.0425 -277.1175 -2.5311 -32.4483
2.9017 5734.8653 -2.6911 9966.0625 6.1453 0.0171 0.0068 -129.5584 0.0865 0.0336 -0.0000 0.0000 0.1021 0.0314 45.3850 0.0836 -0.0407 -277.0365 4.5516 -31.8666
2.9033 5738.2674 -2.6959 9965.9678 5.9294 0.0172 0.0068 -129.4828 0.0864 0.0335 0.0002 0.0001 0.1010 0.0279 45.3522 -0.1715 -0.1152 -276.9556 11.4089 -29.8079
2.9050 5741.6686 -2.7007 9965.8729 5.7137 0.0174 0.0068 -129.4073 0.0859 0.0333 0.0003 0.0001 0.0988 0.0246 45.3195 -0.4226 -0.1811 -276.8748 17.7296 -26.3572
2.9067 5745.0691 -2.7056 9965.7780 5.4981 0.0175 0.0067 -129.3318 0.0850 0.0329 0.0005 0.0002 0.0956 0.0215 45.2868 -0.6672 -0.2390 -276.7938 23.2285 -21.6636
2.9083 5748.4688 -2.7104 9965.6830 5.2826 0.0177 0.0066 -129.2563 0.0837 0.0325 0.0007 0.0002 0.0915 0.0189 45.2541 -0.9028 -0.2897 -276.7122 27.6591 -15.9337
2.9100 5751.8677 -2.7152 9965.5879 5.0672 0.0178 0.0065 -129.1809 0.0820 0.0319 0.0008 0.0002 0.0866 0.0168 45.2215 -1.1272 -0.3346 -276.6301 30.8250 -9.4212
2.9117 5755.2659 -2.7200 9965.4926 4.8520 0.0178 0.0064 -129.1056 0.0799 0.0313 0.0009 0.0003 0.0811 0.0154 45.1889 -1.3387 -0.3751 -276.5471 32.5886 -2.4158
2.9133 5758.6633 -2.7248 9965.3973 4.6368 0.0179 0.0063 -129.0303 0.0775 0.0307 0.0011 0.0003 0.0752 0.0146 45.1563 -1.5360 -0.4128 -276.4632 32.8773 4.7709
2.9150 5762.0599 -2.7296 9965.3019 4.4219 0.0179 0.0062 -128.9551 0.0748 0.0300 0.0012 0.0003 0.0690 0.0144 45.1237 -1.7183 -0.4494 -276.3785 31.6866 11.8194
2.9167 5765.4558 -2.7344 9965.2063 4.2070 0.0179 0.0060 -128.8799 0.0718 0.0292 0.0013 0.0003 0.0628 0.0149 45.0912 -1.8851 -0.4864 -276.2928 29.0797 18.4173
2.9183 5768.8509 -2.7392 9965.1107 3.9923 0.0179 0.0059 -128.8048 0.0685 0.0283 0.0014 0.0004 0.0566 0.0160 45.0586 -2.0365 -0.5254 -276.2063 25.1849 24.2730
2.9200 5772.2453 -2.7440 9965.0149 3.7776 0.0178 0.0058 -128.7297 0.0650 0.0274 0.0015 0.0004 0.0507 0.0175 45.0261 -2.1730 -0.5678 -276.1192 20.1885 29.1299
2.9217 5775.6389 -2.7488 9964.9190 3.5631 0.0178 0.0057 -128.6547 0.0613 0.0265 0.0016 0.0004 0.0452 0.0194 44.9935 -2.2952 -0.6145 -276.0315 14.3271 32.7768
2.9233 5779.0317 -2.7536 9964.8230 3.3488 0.0177 0.0056 -128.5797 0.0574 0.0254 0.0016 0.0005 0.0402 0.0215 44.9610 -2.4043 -0.6663 -275.9434 7.8755 35.0585
2.9250 5782.4237 -2.7584 9964.7269 3.1345 0.0176 0.0056 -128.5048 0.0533 0.0242 0.0017 0.0005 0.0357 0.0237 44.9285 -2.5015 -0.7235 -275.8551 1.1348 35.8819
2.9267 5785.8150 -2.7632 9964.6307 2.9204 0.0175 0.0056 -128.4299 0.0490 0.0230 0.0018 0.0005 0.0317 0.0257 44.8961 -2.5883 -0.7860 -275.7668 -5.5821 35.2201
2.9283 5789.2055 -2.7681 9964.5344 2.7064 0.0174 0.0055 -128.3551 0.0447 0.0216 0.0018 0.0006 0.0284 0.0275 44.8637 -2.6661 -0.8534 -275.6787 -11.9644 33.1136
2.9300 5792.5953 -2.7729 9964.4379 2.4926 0.0174 0.0056 -128.2804 0.0402 0.0201 0.0019 0.0006 0.0256 0.0288 44.8314 -2.7363 -0.9248 -275.5908 -17.7180 29.6677
2.9317 5795.9843 -2.7778 9964.3414 2.2788 0.0173 0.0056 -128.2057 0.0355 0.0185 0.0019 0.0007 0.0232 0.0296 44.7991 -2.8001 -0.9989 -275.5032 -22.5783 25.0478
2.9333 5799.3725 -2.7826 9964.2447 2.0652 0.0172 0.0056 -128.1311 0.0308 0.0168 0.0019 0.0007 0.0212 0.0297 44.7669 -2.8586 -1.0743 -275.4160 -26.3228 19.4716
2.9350 5802.7600 -2.7875 9964.1480 1.8517 0.0172 0.0056 -128.0565 0.0260 0.0150 0.0020 0.0008 0.0195 0.0291 44.7348 -2.9126 -1.1491 -275.3293 -28.7805 13.1987
2.9367 5806.1467 -2.7924 9964.0511 1.6384 0.0172 0.0057 -127.9820 0.0211 0.0130 0.0020 0.0008 0.0179 0.0277 44.7027 -2.9625 -1.2214 -275.2430 -29.8395 6.5188
2.9383 5809.5326 -2.7974 9963.9542 1.4251 0.0171 0.0057 -127.9075 0.0161 0.0109 0.0020 0.0009 0.0163 0.0254 44.6708 -3.0084 -1.2890 -275.1571 -29.4524 -0.2616
2.9400 5812.9178 -2.8023 9963.8571 1.2120 0.0171 0.0057 -127.8330 0.0111 0.0087 0.0021 0.0009 0.0144 0.0223 44.6389 -3.0501 -1.3500 -275.0714 -27.6373 -6.8331
2.9417 5816.3022 -2.8073 9963.7600 0.9990 0.0171 0.0057 -127.7587 0.0060 0.0064 0.0021 0.0009 0.0123 0.0184 44.6071 -3.0870 -1.4024 -274.9859 -24.4775 -12.8973
2.9433 5819.6859 -2.8122 9963.6627 0.7862 0.0171 0.0058 -127.6844 0.0008 0.0040 0.0021 0.0010 0.0097 0.0139 44.5753 -3.1181 -1.4445 -274.9005 -20.1173 -18.1806
2.9450 5823.0688 -2.8172 9963.5654 0.5734 0.0171 0.0058 -127.6101 -0.0044 0.0016 0.0021 0.0010 0.0066 0.0088 44.5436 -3.1422 -1.4745 -274.8150 -14.7548 -22.4461
2.9467 5826.4509 -2.8222 9963.4680 0.3608 0.0171 0.0058 -127.5359 -0.0097 -0.0009 0.0021 0.0010 0.0029 0.0033 44.5119 -3.1578 -1.4915 -274.7294 -8.6333 -25.5043
2.9483 5829.8323 -2.8272 9963.3705 0.1483 0.0171 0.0057 -127.4617 -0.0150 -0.0034 0.0021 0.0010 -0.0015 -0.0024 44.4803 -3.1633 -1.4944 -274.6436 -2.0299 -27.2213
2.9500 5833.2129 -2.8322 9963.2729 6.3473 0.0171 0.0057 -127.3876 -0.0202 -0.0059 0.0021 0.0010 -0.0067 -0.0062 44.4487 -3.1570 -1.4829 -274.5574 0.6376 -27.5247
2.9517 5836.5927 -2.8371 9963.1753 6.1350 0.0170 0.0057 -127.3136 -0.0255 -0.0084 0.0021 0.0010 -0.0120 -0.0120 44.4171 -3.1376 -1.4620 -274.4710 7.4034 -27.2737
2.9533 5839.9718 -2.8421 9963.0775 5.9229 0.0170 0.0057 -127.2396 -0.0307 -0.0108 0.0021 0.0010 -0.0181 -0.0176 44.3855 -3.1041 -1.4268 -274.3843 13.9265 -25.6169
2.9550 5843.3501 -2.8471 9962.9796 5.7109 0.0169 0.0057 -127.1656 -0.0358 -0.0131 0.0020 0.0009 -0.0247 -0.0229 44.3539 -3.0548 -1.3780 -274.2973 19.9131 -22.6357
2.9567 5846.7277 -2.8520 9962.8817 5.4990 0.0169 0.0057 -127.0917 -0.0409 -0.0154 0.0020 0.0009 -0.0318 -0.0277 44.3224 -2.9885 -1.3166 -274.2102 25.0941 -18.4712
2.9583 5850.1045 -2.8570 9962.7836 5.2872 0.0168 0.0058 -127.0179 -0.0458 -0.0175 0.0019 0.0008 -0.0392 -0.0319 44.2908 -2.9041 -1.2439 -274.1230 29.2366 -13.3178
2.9600 5853.4805 -2.8619 9962.6855 5.0756 0.0167 0.0058 -126.9441 -0.0505 -0.0195 0.0019 0.0008 -0.0469 -0.0354 44.2592 -2.8008 -1.1617 -274.0360 32.1545 -7.4141
2.9617 5856.8558 -2.8669 9962.5872 4.8641 0.0167 0.0059 -126.8703 -0.0551 -0.0214 0.0018 0.0007 -0.0546 -0.0380 44.2276 -2.6783 -1.0719 -273.9493 33.7165 -1.0321
2.9633 5860.2303 -2.8718 9962.4889 4.6527 0.0166 0.0060 -126.7966 -0.0595 -0.0231 0.0017 0.0006 -0.0622 -0.0398 44.1960 -2.5367 -0.9766 -273.8631 33.8518 5.5351
2.9650 5863.6041 -2.8767 9962.3904 4.4414 0.0166 0.0061 -126.7230 -0.0636 -0.0246 0.0016 0.0006 -0.0695 -0.0407 44.1645 -2.3765 -0.8778 -273.7775 32.5528 11.9864
2.9667 5866.9771 -2.8816 9962.2918 4.2303 0.0166 0.0062 -126.6494 -0.0674 -0.0260 0.0014 0.0005 -0.0763 -0.0408 44.1329 -2.1987 -0.7778 -273.6927 29.8756 18.0262
2.9683 5870.3493 -2.8865 9962.1931 4.0193 0.0166 0.0064 -126.5759 -0.0709 -0.0272 0.0013 0.0004 -0.0825 -0.0400 44.1014 -2.0047 -0.6785 -273.6087 25.9367 23.3773
2.9700 5873.7208 -2.8915 9962.0943 3.8084 0.0167 0.0065 -126.5024 -0.0741 -0.0283 0.0012 0.0004 -0.0878 -0.0386 44.0699 -1.7962 -0.5819 -273.5257 20.9083 27.7938
2.9717 5877.0916 -2.8964 9961.9954 3.5976 0.0168 0.0066 -126.4290 -0.0769 -0.0292 0.0010 0.0003 -0.0923 -0.0366 44.0384 -1.5755 -0.4895 -273.4436 15.0099 31.0711
2.9733 5880.4615 -2.9013 9961.8964 3.3870 0.0169 0.0067 -126.3556 -0.0793 -0.0299 0.0009 0.0003 -0.0957 -0.0341 44.0070 -1.3448 -0.4026 -273.3622 8.4987 33.0553
2.9750 5883.8307 -2.9062 9961.7973 3.1764 0.0170 0.0067 -126.2823 -0.0814 -0.0305 0.0007 0.0002 -0.0980 -0.0313 43.9756 -1.1069 -0.3222 -273.2815 1.6581 33.6499
2.9767 5887.1992 -2.9112 9961.6981 2.9660 0.0171 0.0068 -126.2090 -0.0830 -0.0310 0.0005 0.0001 -0.0993 -0.0284 43.9443 -0.8643 -0.2489 -273.2013 -5.2151 32.8194
2.9783 5890.5669 -2.9161 9961.5987 2.7557 0.0173 0.0068 -126.1358 -0.0843 -0.0313 0.0004 0.0001 -0.0994 -0.0255 43.9130 -0.6199 -0.1827 -273.1213 -11.8234 30.5914
2.9800 5893.9338 -2.9211 9961.4993 2.5456 0.0174 0.0068 -126.0627 -0.0851 -0.0316 0.0002 0.0001 -0.0985 -0.0227 43.8817 -0.3763 -0.1235 -273.0414 -17.8823 27.0543
2.9817 5897.3000 -2.9260 9961.3997 2.3355 0.0176 0.0067 -125.9896 -0.0855 -0.0317 0.0000 0.0000 -0.0966 -0.0203 43.8505 -0.1359 -0.0707 -272.9613 -23.1320 22.3541
2.9833 5900.6655 -2.9310 9961.3001 2.1256 0.0177 0.0066 -125.9165 -0.0855 -0.0318 -0.0001 -0.0000 -0.0938 -0.0183 43.8194 0.0988 -0.0234 -272.8808 -27.3493 16.6871
2.9850 5904.0301 -2.9359 9961.2003 1.9158 0.0178 0.0065 -125.8435 -0.0852 -0.0318 -0.0003 -0.0000 -0.0903 -0.0168 43.7882 0.3259 0.0196 -272.7996 -30.3570 10.2915
2.9867 5907.3941 -2.9409 9961.1005 1.7061 0.0179 0.0064 -125.7705 -0.0845 -0.0318 -0.0004 -0.0001 -0.0862 -0.0159 43.7572 0.5437 0.0596 -272.7177 -32.0312 3.4368
2.9883 5910.7572 -2.9459 9961.0005 1.4966 0.0180 0.0063 -125.6976 -0.0834 -0.0316 -0.0006 -0.0001 -0.0816 -0.0156 43.7261 0.7509 0.0983 -272.6349 -32.3069 -3.5882
2.9900 5914.1196 -2.9508 9960.9005 1.2871 0.0180 0.0061 -125.6248 -0.0820 -0.0314 -0.0007 -0.0001 -0.0768 -0.0160 43.6950 0.9467 0.1371 -272.5512 -31.1804 -10.4879
2.9917 5917.4813 -2.9558 9960.8003 1.0778 0.0180 0.0060 -125.5520 -0.0802 -0.0312 -0.0008 -0.0001 -0.0718 -0.0169 43.6640 1.1306 0.1775 -272.4665 -28.7092 -16.9730
2.9933 5920.8422 -2.9608 9960.7001 0.8686 0.0180 0.0058 -125.4792 -0.0782 -0.0308 -0.0009 -0.0002 -0.0669 -0.0184 43.6330 1.3024 0.2211 -272.3809 -25.0092 -22.7726
2.9950 5924.2023 -2.9658 9960.5997 0.6595 0.0179 0.0057 -125.4065 -0.0759 -0.0304 -0.0010 -0.0002 -0.0622 -0.0204 43.6020 1.4624 0.2689 -272.2945 -20.2493 -27.6465
2.9967 5927.5617 -2.9707 9960.4992 0.4506 0.0178 0.0056 -125.3339 -0.0733 -0.0299 -0.0011 -0.0002 -0.0577 -0.0227 43.5710 1.6113 0.3220 -272.2075 -14.6440 -31.3951
2.9983 5930.9203 -2.9757 9960.3986 0.2418 0.0177 0.0055 -125.2613 -0.0705 -0.0294 -0.0012 -0.0003 -0.0537 -0.0252 43.5400 1.7499 0.3811 -272.1199 -8.4439 -33.8679
3.0000 5934.2782 -2.9807 9960.2979 0.0330 0.0176 0.0055 -125.1888 -0.0675 -0.0287 -0.0013 -0.0003 -0.0501 -0.0277 43.5091 1.8792 0.4465 -272.0320 -1.9243 -34.9699
3.0017 5937.6353 -2.9857 9960.1971 6.4587 0.0177 0.0054 -125.1163 -0.0642 -0.0279 -0.0014 -0.0003 -0.0470 -0.0246 43.4783 2.0532 0.4786 -271.9501 -6.5362 -34.7419
3.0033 5940.9917 -2.9907 9960.0962 6.2503 0.0176 0.0053 -125.0438 -0.0607 -0.0270 -0.0015 -0.0004 -0.0432 -0.0270 43.4474 2.1660 0.5426 -271.8625 0.0247 -35.3782
3.0050 5944.3473 -2.9957 9959.9952 6.0419 0.0175 0.0053 -124.9715 -0.0570 -0.0261 -0.0016 -0.0004 -0.0398 -0.0293 43.4165 2.2701 0.6123 -271.7748 6.5255 -34.6105
3.0067 5947.7022 -3.0007 9959.8940 5.8337 0.0174 0.0053 -124.8991 -0.0532 -0.0250 -0.0016 -0.0005 -0.0370 -0.0313 43.3857 2.3668 0.6874 -271.6872 12.6810 -32.4825
3.0083 5951.0563 -3.0057 9959.7928 5.6256 0.0173 0.0053 -124.8268 -0.0491 -0.0238 -0.0017 -0.0005 -0.0347 -0.0328 43.3549 2.4572 0.7669 -271.5998 18.2218 -29.0961
3.0100 5954.4097 -3.0107 9959.6914 5.4176 0.0172 0.0053 -124.7546 -0.0450 -0.0224 -0.0018 -0.0006 -0.0327 -0.0338 43.3242 2.5425 0.8496 -271.5128 22.9062 -24.6065
3.0117 5957.7623 -3.0158 9959.5899 5.2097 0.0171 0.0054 -124.6824 -0.0407 -0.0209 -0.0018 -0.0006 -0.0311 -0.0341 43.2935 2.6235 0.9339 -271.4262 26.5302 -19.2152
3.0133 5961.1141 -3.0208 9959.4884 5.0020 0.0171 0.0054 -124.6103 -0.0362 -0.0193 -0.0019 -0.0007 -0.0297 -0.0337 43.2629 2.7008 1.0182 -271.3401 28.9365 -13.1614
3.0150 5964.4652 -3.0259 9959.3867 4.7944 0.0170 0.0055 -124.5382 -0.0317 -0.0175 -0.0019 -0.0008 -0.0283 -0.0325 43.2324 2.7748 1.1006 -271.2545 30.0206 -6.7115
3.0167 5967.8156 -3.0310 9959.2850 4.5869 0.0170 0.0055 -124.4662 -0.0270 -0.0156 -0.0020 -0.0008 -0.0269 -0.0304 43.2019 2.8456 1.1790 -271.1693 29.7358 -0.1474
3.0183 5971.1652 -3.0361 9959.1831 4.3795 0.0170 0.0056 -124.3942 -0.0222 -0.0136 -0.0020 -0.0009 -0.0253 -0.0276 43.1715 2.9127 1.2515 -271.0846 28.0940 6.2458
3.0200 5974.5140 -3.0412 9959.0811 4.1722 0.0170 0.0056 -124.3223 -0.0173 -0.0115 -0.0020 -0.0009 -0.0233 -0.0240 43.1412 2.9755 1.3162 -271.0001 25.1661 12.1916
3.0217 5977.8621 -3.0463 9958.9791 3.9651 0.0170 0.0056 -124.2504 -0.0123 -0.0092 -0.0021 -0.0009 -0.0209 -0.0197 43.1109 3.0331 1.3713 -270.9159 21.0776 17.4343
3.0233 5981.2095 -3.0515 9958.8770 3.7581 0.0170 0.0056 -124.1786 -0.0072 -0.0069 -0.0021 -0.0010 -0.0180 -0.0149 43.0807 3.0842 1.4153 -270.8317 16.0041 21.7496
3.0250 5984.5561 -3.0566 9958.7748 3.5512 0.0170 0.0057 -124.1068 -0.0020 -0.0045 -0.0021 -0.0010 -0.0144 -0.0096 43.0505 3.1275 1.4468 -270.7476 10.1625 24.9542
3.0267 5987.9019 -3.0618 9958.6725 3.3444 0.0170 0.0057 -124.0351 0.0033 -0.0021 -0.0022 -0.0010 -0.0101 -0.0040 43.0204 3.1612 1.4651 -270.6633 3.8028 26.9134
3.0283 5991.2470 -3.0669 9958.5701 3.1377 0.0170 0.0057 -123.9634 0.0086 0.0004 -0.0022 -0.0010 -0.0052 0.0018 42.9903 3.1836 1.4694 -270.5788 -2.8038 27.5467
3.0300 5994.5913 -3.0720 9958.4676 2.9312 0.0170 0.0057 -123.8918 0.0139 0.0028 -0.0022 -0.0010 0.0005 0.0075 42.9602 3.1931 1.4598 -270.4940 -9.3757 26.8308
3.0317 5997.9349 -3.0772 9958.3650 2.7247 0.0169 0.0057 -123.8202 0.0192 0.0052 -0.0022 -0.0010 0.0069 0.0130 42.9301 3.1879 1.4363 -270.4090 -15.6334 24.8006
3.0333 6001.2778 -3.0823 9958.2623 2.5184 0.0169 0.0057 -123.7487 0.0245 0.0076 -0.0022 -0.0010 0.0138 0.0182 42.9000 3.1666 1.3997 -270.3238 -21.3112 21.5473
3.0350 6004.6199 -3.0874 9958.1596 2.3122 0.0169 0.0057 -123.6772 0.0298 0.0099 -0.0021 -0.0009 0.0212 0.0230 42.8699 3.1277 1.3510 -270.2384 -26.1681 17.2145
3.0367 6007.9612 -3.0925 9958.0567 2.1062 0.0168 0.0057 -123.6058 0.0349 0.0121 -0.0021 -0.0009 0.0290 0.0271 42.8398 3.0703 1.2914 -270.1529 -29.9987 11.9917
3.0383 6011.3018 -3.0976 9957.9538 1.9002 0.0168 0.0058 -123.5344 0.0400 0.0142 -0.0020 -0.0008 0.0370 0.0305 42.8096 2.9936 1.2225 -270.0675 -32.6407 6.1060
3.0400 6014.6416 -3.1027 9957.8507 1.6944 0.0167 0.0058 -123.4631 0.0449 0.0162 -0.0020 -0.0008 0.0450 0.0331 42.7795 2.8972 1.1462 -269.9823 -33.9824 -0.1873
3.0417 6017.9807 -3.1078 9957.7475 1.4887 0.0167 0.0059 -123.3918 0.0497 0.0180 -0.0019 -0.0007 0.0530 0.0350 42.7494 2.7813 1.0644 -269.8975 -33.9672 -6.6160
3.0433 6021.3191 -3.1129 9957.6442 1.2831 0.0167 0.0060 -123.3206 0.0542 0.0197 -0.0018 -0.0007 0.0606 0.0360 42.7193 2.6462 0.9791 -269.8132 -32.5950 -12.9022
3.0450 6024.6567 -3.1180 9957.5409 1.0776 0.0167 0.0061 -123.2494 0.0585 0.0213 -0.0017 -0.0006 0.0678 0.0362 42.6891 2.4929 0.8921 -269.7296 -29.9229 -18.7745
3.0467 6027.9936 -3.1230 9957.4374 0.8723 0.0167 0.0062 -123.1783 0.0625 0.0227 -0.0016 -0.0005 0.0745 0.0357 42.6590 2.3226 0.8055 -269.6467 -26.0621 -23.9788
3.0483 6031.3297 -3.1281 9957.3337 0.6670 0.0168 0.0063 -123.1072 0.0662 0.0240 -0.0014 -0.0005 0.0803 0.0346 42.6290 2.1369 0.7208 -269.5646 -21.1731 -28.2896
3.0500 6034.6650 -3.1332 9957.2300 0.4619 0.0168 0.0064 -123.0362 0.0696 0.0251 -0.0013 -0.0004 0.0854 0.0328 42.5989 1.9378 0.6396 -269.4833 -15.4589 -31.5190
3.0517 6037.9996 -3.1383 9957.1262 0.2569 0.0169 0.0065 -122.9652 0.0727 0.0261 -0.0011 -0.0004 0.0894 0.0307 42.5689 1.7276 0.5631 -269.4027 -9.1561 -33.5243
3.0533 6041.3335 -3.1433 9957.0223 0.0520 0.0171 0.0065 -122.8943 0.0754 0.0270 -0.0010 -0.0003 0.0925 0.0283 42.5389 1.5085 0.4922 -269.3228 -2.5252 -34.2144
3.0550 6044.6666 -3.1484 9956.9182 6.4359 0.0170 0.0067 -122.8234 0.0777 0.0278 -0.0009 -0.0003 0.0945 0.0305 42.5091 1.3349 0.3886 -269.2363 -5.5567 -33.6282
3.0567 6047.9990 -3.1535 9956.8141 6.2313 0.0171 0.0067 -122.7526 0.0797 0.0283 -0.0007 -0.0002 0.0966 0.0278 42.4792 1.1045 0.3183 -269.1568 1.1350 -33.6217
3.0583 6051.3306 -3.1586 9956.7098 6.0268 0.0172 0.0067 -122.6818 0.0814 0.0288 -0.0005 -0.0002 0.0975 0.0249 42.4493 0.8702 0.2547 -269.0777 7.7408 -32.2707
3.0600 6054.6615 -3.1637 9956.6054 5.8223 0.0174 0.0067 -122.6111 0.0826 0.0292 -0.0004 -0.0001 0.0975 0.0222 42.4195 0.6346 0.1980 -268.9988 13.9906 -29.6230
3.0617 6057.9916 -3.1688 9956.5010 5.6181 0.0175 0.0067 -122.5404 0.0835 0.0295 -0.0002 -0.0001 0.0964 0.0197 42.3898 0.4002 0.1476 -268.9198 19.6300 -25.7804
3.0633 6061.3210 -3.1739 9956.3964 5.4139 0.0177 0.0066 -122.4698 0.0840 0.0297 -0.0001 -0.0001 0.0944 0.0175 42.3601 0.1694 0.1029 -268.8405 24.4308 -20.8938
3.0650 6064.6497 -3.1791 9956.2917 5.2098 0.0178 0.0065 -122.3992 0.0841 0.0298 0.0001 -0.0000 0.0917 0.0157 42.3304 -0.0559 0.0631 -268.7608 28.2002 -15.1568
3.0667 6067.9776 -3.1842 9956.1870 5.0059 0.0179 0.0064 -122.3287 0.0838 0.0299 0.0002 0.0000 0.0882 0.0145 42.3007 -0.2737 0.0268 -268.6804 30.7890 -8.7979
3.0683 6071.3047 -3.1893 9956.0821 4.8021 0.0180 0.0063 -122.2582 0.0832 0.0299 0.0004 0.0000 0.0842 0.0138 42.2711 -0.4827 -0.0072 -268.5993 32.0970 -2.0706
3.0700 6074.6312 -3.1945 9955.9771 4.5983 0.0180 0.0062 -122.1878 0.0822 0.0299 0.0005 0.0000 0.0798 0.0138 42.2415 -0.6816 -0.0405 -268.5173 32.0778 4.7572
3.0717 6077.9568 -3.1996 9955.8720 4.3948 0.0180 0.0060 -122.1174 0.0809 0.0298 0.0007 0.0001 0.0752 0.0144 42.2119 -0.8697 -0.0744 -268.4344 30.7394 11.4139
3.0733 6081.2818 -3.2047 9955.7668 4.1913 0.0180 0.0059 -122.0471 0.0793 0.0296 0.0008 0.0001 0.0705 0.0155 42.1824 -1.0466 -0.1104 -268.3507 28.1445 17.6357
3.0750 6084.6059 -3.2099 9955.6615 3.9879 0.0180 0.0058 -121.9768 0.0774 0.0294 0.0009 0.0001 0.0658 0.0172 42.1528 -1.2122 -0.1499 -268.2661 24.4074 23.1774
3.0767 6087.9294 -3.2150 9955.5561 3.7847 0.0179 0.0056 -121.9066 0.0752 0.0291 0.0010 0.0002 0.0613 0.0193 42.1233 -1.3669 -0.1939 -268.1807 19.6889 27.8220
3.0783 6091.2521 -3.2201 9955.4506 3.5816 0.0178 0.0055 -121.8364 0.0728 0.0288 0.0011 0.0002 0.0571 0.0216 42.0937 -1.5112 -0.2434 -268.0947 14.1896 31.3901
3.0800 6094.5740 -3.2253 9955.3450 3.3786 0.0177 0.0054 -121.7663 0.0702 0.0283 0.0012 0.0002 0.0533 0.0242 42.0642 -1.6460 -0.2989 -268.0082 8.1417 33.7465
3.0817 6097.8952 -3.2304 9955.2393 3.1757 0.0176 0.0054 -121.6962 0.0674 0.0278 0.0013 0.0003 0.0499 0.0269 42.0347 -1.7721 -0.3609 -267.9214 1.7988 34.8060
3.0833 6101.2157 -3.2356 9955.1335 2.9729 0.0175 0.0053 -121.6261 0.0643 0.0271 0.0013 0.0003 0.0470 0.0294 42.0052 -1.8907 -0.4292 -267.8345 -4.5739 34.5363
3.0850 6104.5354 -3.2407 9955.0275 2.7703 0.0174 0.0053 -121.5562 0.0611 0.0263 0.0014 0.0004 0.0445 0.0317 41.9758 -2.0029 -0.5034 -267.7475 -10.7113 32.9592
3.0867 6107.8544 -3.2459 9954.9215 2.5677 0.0173 0.0053 -121.4862 0.0576 0.0254 0.0015 0.0004 0.0425 0.0336 41.9464 -2.1099 -0.5828 -267.6608 -16.3586 30.1495
3.0883 6111.1726 -3.2511 9954.8153 2.3653 0.0172 0.0054 -121.4163 0.0540 0.0244 0.0016 0.0005 0.0409 0.0351 41.9170 -2.2125 -0.6663 -267.5743 -21.2821 26.2317
