tof posE posN posU tgtE tgtN tgtU normComm normAch sideComm sideAch p q r phi alpha beta fin1c fin2c fin3c fin4c fin1d fin2d fin3d fin4d
0.13600000000000007 101.3075542872607 100.23055709958508 2.2422597714311245 3000.0 3000.0 3000.0 -0.0012251527739769545 -0.7041070113121893 0.027866329961124356 3.129829880143737e-18 2.525393794553235e-19 -0.0007635388444603519 1.965296541427477e-19 1.098126066673024e-20 0.02593846977274113 -1.7700131146239795e-17 -0.00017123412639994835 -0.0001712341263999484 -0.00017123412639994862 -0.00017123412639994868 -0.0001242360557113831 -0.0001242360557113832 -0.000124236055711383 -0.00012423605571138305
0.14400000000000007 101.51525832158691 100.2671809248388 2.4424935287506426 3000.0 3000.0 3000.0 -0.001469687023450873 -0.7040778481353102 0.03258835372442882 3.634723418451233e-18 3.2571272354135036e-19 -0.0009341553904207151 2.7695353889293214e-19 1.4573687310105864e-20 0.02553289210848444 -1.7873163803567626e-17 -0.00019995175333282263 -0.00019995175333282274 -0.00019995175333282328 -0.0001999517533328234 -0.00015409467210618675 -0.0001540946721061868 -0.00015409467210618773 -0.00015409467210618775
0.15200000000000008 101.73850903235459 100.30654604860948 2.657887057132795 3000.0 3000.0 3000.0 -0.0017360377949772428 -0.7041678107324637 0.037680225653776635 3.984554500870857e-18 2.828579921832418e-19 -0.0011275893412466631 3.6987415559155325e-19 1.939479892475727e-20 0.02517881693385471 -2.734287105075959e-17 -0.00023066357115682402 -0.00023066357115682419 -0.0002306635711568251 -0.00023066357115682527 -0.0001824264292261148 -0.00018242642922611482 -0.00018242642922611647 -0.00018242642922611653
0.1600000000000001 101.97730619515046 100.34865243132703 2.888439859723138 3000.0 3000.0 3000.0 -0.0020241852960746374 -0.7044005591678766 0.043142080799436926 7.364100095384787e-18 4.497910327840562e-19 -0.001345176691357956 5.310552175472821e-19 2.4616290597418294e-20 0.024866661151433735 -9.76154977754286e-18 -0.00026332693656192505 -0.00026332693656192527 -0.00026332693656192635 -0.00026332693656192657 -0.00020808347718940048 -0.00020808347718940056 -0.00020808347718940176 -0.00020808347718940184
0.1680000000000001 102.23164964161232 100.39350004330463 3.134151327374382 3000.0 3000.0 3000.0 -0.0023340983987855 -0.7046043921783387 0.04897406561058053 1.2362711425999858e-18 5.181212546881707e-19 -0.0016239622987800862 6.099324839342668e-19 3.246244546423567e-20 0.024429616985426575 -5.2125319239253585e-19 -0.0002979241368975966 -0.0002979241368975969 -0.0002979241368975979 -0.0002979241368975982 -0.00023511876621977912 -0.00023511876621977928 -0.00023511876621977955 -0.00023511876621977972
0.1760000000000001 102.50325475201163 100.44139135236632 3.396762698906191 3000.0 3000.0 3000.0 -0.002722234184603428 -0.7053413842652948 0.055896674896209274 -2.8416201046550365e-18 4.249839404322297e-19 -0.0019351406945367323 6.197677218341428e-19 4.148594639055908e-20 0.024043408044959236 8.855176629267432e-18 -0.00035202265735123704 -0.0003520226573512375 -0.00035202265735123856 -0.000352022657351239 -0.00026809105555027784 -0.0002680910555502781 -0.0002680910555502782 -0.0002680910555502785
0.1840000000000001 102.7921215261557 100.49232635847814 3.6762729482985694 3000.0 3000.0 3000.0 -0.0031394744187632335 -0.7063663262146387 0.06327762460826752 -7.692546647871414e-18 -1.3104296149892006e-19 -0.0022798491082135467 5.413148730968108e-19 4.984267324447969e-20 0.02369930006326311 -2.9205760939208532e-18 -0.00039866752791665344 -0.00039866752791665387 -0.00039866752791665506 -0.0003986675279166555 -0.00030982482940334423 -0.0003098248294033446 -0.00030982482940334553 -0.0003098248294033459
0.19200000000000012 103.09825009214414 100.5463050842275 3.9726808469696087 3000.0 3000.0 3000.0 -0.0035857066428011063 -0.7077170610429139 0.07111713824393345 -1.4181906423715293e-18 -7.897652647012311e-19 -0.002659073651945797 5.828147400234978e-19 5.312324282723015e-20 0.023390434788627717 -7.80139456678069e-18 -0.0004473626566524032 -0.00044736265665240365 -0.00044736265665240463 -0.00044736265665240506 -0.0003608450115205014 -0.00036084501152050183 -0.00036084501152050367 -0.0003608450115205041
0.20000000000000012 103.42164072702279 100.60332757846504 4.285984942182203 3000.0 3000.0 3000.0 -0.004060800649110546 -0.7094302143498931 0.07941545512563283 1.4603534216793644e-18 -1.4274673817781593e-18 -0.0030738725033961326 6.860910202753577e-19 5.146558853182892e-20 0.0231113501300852 -1.058504567821159e-17 -0.0004980174007507318 -0.0004980174007507322 -0.0004980174007507326 -0.0004980174007507331 -0.00041562452132785005 -0.00041562452132785054 -0.00041562452132785243 -0.00041562452132785287
0.20800000000000013 103.76229387705278 100.66339391987866 4.616183535831931 3000.0 3000.0 3000.0 -0.004564595614914288 -0.7115425581371208 0.0881728310022776 3.193072492557298e-18 -1.6937745075946963e-18 -0.0035255962146765636 8.326633781813292e-19 4.5531995563148955e-20 0.022857640012554407 -2.1432882207471132e-17 -0.0005505286843148178 -0.0005505286843148182 -0.000550528684314818 -0.0005505286843148185 -0.0004662395425694746 -0.00046623954256947505 -0.000466239542569476 -0.0004662395425694764
