1 input_insertion.asc  Three-stage rocket ascent  ' SLV ' Nov 30 2022 22:11:34
  0  0 108
time            vmach           pdynmc          psibdx          thtbdx          
phibdx          alppx           phipx           alphax          betax           
ppx             qqx             rrx             lonx            latx            
alt             dvbe            dvbi            psivdx          thtvdx          
grndtrck        ayx             anx             gndtrnmx        vmass           
xcg             fmasse          thrust          fmassr          dead_zone       
roll_count      pitch_count     yaw_count       stmarg_yaw      stmarg_pitch    
realp1          wnp             zetp            realy1          wny             
zety            gnmax           gymax           alphacx         betacx          
phibdcx         thtbdcx         psibdcx         RICI1           RICI2           
RICI3           EVBI1           EVBI2           EVBI3           ESBI1           
ESBI2           ESBI3           ins_pos_err     ins_vel_err     ins_tilt_err    
UTBC1           UTBC2           UTBC3           lamd            dpd             
dbd             ddb             dvdb            thtvddbx        waclp           
zaclp           paclp           alcomx_actual   ancomx_actual   GAINFP1         
GAINFP2         GAINFP3         wacly           alcomx          ancomx          
wnact           delax           delex           delrx           modes           
ucbias_error    ucfreq_error    SXH1            SXH2            SXH3            
VXH1            VXH2            VXH3            CXH1            CXH2            
CXH3            std_pos         std_vel         std_ucbias      gps_pos_meas    
gps_vel_meas    state_pos       state_vel       URIC1           URIC2           
URIC3           etax            zetx            
0               5.00151         0.200125        3.06193         0               
0               0               0               0               0               
0               0               0               
0.6             0.0365044       93.3565         -82.8549        87.1172         
0.145444        0               180             -1.47345        0.0859212       
-1.84844e-05    -7.26807        -0.0858154      -120.49         34.68           
104.026         12.4268         382.79          -79.2319        88.5831         
0.0474862       0               -0              2.56405e-05     48675.3         
10.4927         308.717         1.40763e+06     30866.3         0.4             
0               8               15              -2.53692        -2.53692        
0.0705514       0               0               0.0705514       0               
0               0.00074374      0.00074374      -0.958516       0.181014        
-0              87.0872         -83             -6.98382e-05    -0.000250144    
-0.000483898    -0.0936545      0.0675738       0.032912        -5.72846        
-0.89417        -2.60962        6.35806         0.120086        0.000549188     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.96339         0.0254352       0               0               0               
0               0               0               0               0               
0               5.00205         0.20015         3.08383         0               
0               0               0               0               0               
0               0               0               
0.7             0.0421329       124.344         -83.0206        86.424          
-0.0200468      0               180             -1.70078        0.0943837       
-2.14116e-05    -6.57925        -0.0857586      -120.49         34.68           
105.364         14.3397         382.694         -80.1681        88.1177         
0.0861869       0               -0              4.65372e-05     48623.9         
10.4864         360.127         1.40763e+06     30814.9         0.4             
0               14              15              -2.53378        -2.53378        
0.0814252       0               0               0.0814252       0               
0               0.000992439     0.000992439     -1.26558        0.178279        
-0              86.3938         -83.1353        -6.97159e-05    -0.000249094    
-0.000484226    -0.0926531      0.0661096       0.0333728       -5.73777        
-0.887486       -2.60631        6.36416         0.118612        0.000548984     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.96386         -0.0354435      0               0               0               
0               0               0               0               0               
0               5.00267         0.200175        3.10876         0               
0               0               0               0               0               
0               0               0               
0.8             0.0477704       159.817         -83.0096        85.7966         
-0.00907014     0               180             -1.85396        0.0926757       
-2.42546e-05    -5.94119        0.05206         -120.49         34.68           
106.892         16.2556         382.575         -80.7645        87.644          
0.142978        0               -0              7.72019e-05     48572.5         
10.4802         411.537         1.40763e+06     30763.5         0.4             
0               20              17              -2.53065        -2.53065        
0.0923145       0               0               0.0923145       0               
0               0.00127792      0.00127792      -1.47983        0.167984        
-0              85.7665         -83.1064        -6.95743e-05    -0.000248142    
-0.000484531    -0.0916687      0.0646358       0.033842        -5.74699        
-0.880949       -2.60295        6.37019         0.117159        0.000548804     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.96072         -0.00701725     0               0               0               
0               0               0               0               0               
0               5.00337         0.2002          3.13663         0               
0               0               0               0               0               
0               0               0               
0.9             0.0534175       199.795         -82.9459        85.2287         
0.0544283       0               180             -1.95215        0.087262        
-2.68583e-05    -5.33676        0.0521066       -120.49         34.68           
108.612         18.1746         382.436         -81.1395        87.1747         
0.221049        0               -0              0.000119357     48521.1         
10.474          462.947         1.40763e+06     30712.1         0.4             
0               26              17              -2.52751        -2.52751        
0.10322         0               0               0.10322         0               
0               0.00160054      0.00160054      -1.6263         0.155766        
-0              85.1986         -83.0308        -6.94236e-05    -0.000247279    
-0.000484814    -0.0906999      0.0631536       0.0343188       -5.75611        
-0.874559       -2.59954        6.37615         0.115727        0.000548645     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.96052         -0.0447791      0               0               0               
0               0               0               0               0               
0               5.00415         0.200225        3.16736         0               
0               0               0               0               0               
0               0               0               
1               0.0590746       244.298         -82.8946        84.715          
0.105523        0               180             -2.00755        0.0826196       
-2.90398e-05    -4.91291        0.0521488       -120.49         34.68           
110.523         20.0969         382.279         -81.3887        86.7168         
0.323293        0               -0              0.000174564     48469.6         
10.4678         514.357         1.40763e+06     30660.6         0.4             
0               31              17              -2.52438        -2.52438        
0.114141        0               0               0.114141        0               
0               0.00196067      0.00196067      -1.72083        0.145594        
0               84.6849         -82.971         -6.92734e-05    -0.000246502    
-0.000485075    -0.0897451      0.0616637       0.0348025       -5.76513        
-0.868318       -2.59608        6.38203         0.114315        0.000548507     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.95995         -0.135473       0               0               0               
0               0               0               0               0               
0               5.00501         0.20025         3.20087         0               
0               0               0               0               0               
0               0               0               
1.1             0.0647421       293.348         -82.851         84.2512         
0.14887         0               180             -2.02843        0.0785473       
-3.08738e-05    -4.38482        0.0521869       -120.49         34.68           
112.625         22.0226         382.107         -81.5621        86.2741         
0.452331        0               -0              0.000244239     48418.2         
10.4616         565.767         1.40763e+06     30609.2         0.4             
0               36              17              -2.52124        -2.52124        
0.12508         0               0               0.12508         0               
0               0.00235869      0.00235869      -1.77407        0.136934        
0               84.2211         -82.921         -6.91251e-05    -0.000245801    
-0.000485316    -0.0888029      0.0601669       0.0352924       -5.77406        
-0.862227       -2.59258        6.38785         0.112923        0.000548387     
0               0               0               0               0               
0               0               0               0               0               
1               0               0               0               0               
0               0               0               0               0               
0               0               0               0               3               
1.95702         -0.0340313      0               0               0               
0               0               0               0               0               
0               5.00595         0.200275        3.23707         0               
0               0               0               0               0               
0               0               0               
1.2             0.0704202       346.965         -82.8126        83.8307         
0.18707         0               180             -2.02327        0.0749081       
-3.2429e-05     -4.03783        0.0522214       -120.49         34.68           
114.918         23.9518         381.923         -81.6873        85.8488         
0.610541        0               -0              0.000329666     48366.8         
10.4554         617.177         1.40763e+06     30557.8         0.4             
0               40              17              -2.51811        -2.51811        
0.136035        0               0               0.136035        0               
0               0.00279498      0.00279498      -1.79611        0.129427        
0               83.8006         -82.8776        -6.89793e-05    -0.000245168    
-0.000485539    -0.0878722      0.0586639       0.0357879       -5.78289        
-0.856285       -2.58902        6.3936          0.111552        0.000548283     
0               0               0               0               0               
0               0               0               0               0               
