XCG MASS TMOI THRUST RHO Q P A G MACH BETA TOF SPEED ALPHA SIDESLIP PRATE QRATE RRATE UDOT_0 VDOT_0 WDOT_0 ENUPOSX ENUPOSY ENUPOSZ ENUVELX ENUVELY ENUVELZ ENUPHI ENUTHT ENUPSI
0.644605 45.0 9.688911112500001 6329.032258064516 1.225 382.81250000000006 101325.0 340.2940650819523 9.825872893069327 0.0734658713309599 0.0734658713309599 0.0 25.0 -4.782875536598013e-17 1.772100638100443e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 16.61157560971687 6.046119066199382 17.677669529663685 0.0 0.7853981633974483 0.3490658503988659
0.644605 45.0 9.688911112500001 6329.032258064516 1.225 382.81250000000006 101325.0 340.2940650819523 9.825872893069327 0.0734658713309599 0.0734658713309599 0.0 25.0 4.782875536598013e-17 -1.772100638100443e-17 0.0 0.0 0.0 140.6451612903226 -3.203056288370442e-16 -0.5011126127818276 0.0 0.0 0.0 16.61157560971687 6.046119066199382 17.677669529663685 0.0 0.7853981633974483 0.3490658503988659
0.6433312193548387 44.935483870967744 9.675020200510755 6329.023763514583 1.2249792104742316 382.8060032731974 101322.87636251669 340.29338658618303 9.825872347616142 0.07346601781127614 0.07346601781127614 0.01 26.455258285581095 -0.594585315285729 0.32416735642843036 0.0 0.021215784168407276 1.059333121585382e-17 140.8469035670869 6.234230508010362 -10.03067811479029 0.16611490433133466 0.06046116573357895 0.17677775375256646 17.645115776932613 6.387468949787853 18.647541945011064 0.0 0.2438538166745776 0.8130117753743178
0.6420574387096775 44.87096774193548 9.661129288521506 6329.0148030770815 1.22495728064734 428.661973986016 101320.63625314132 340.2926708640497 9.825871772237306 0.07774266256868705 0.07774266256868705 0.02 27.555232681564586 -0.5244624183462171 0.2958630312224609 0.0 0.3877214639099681 -0.19777546687460867 141.04921559697308 6.02543406957833 -9.529520884664803 0.3425652143175376 0.12433582936876567 0.36325422833299953 18.651573274330193 7.4406931615254965 18.869174539536285 0.0 0.2734224429487229 0.7911975900700439
0.6407836580645161 44.806451612903224 9.64723837653226 6329.005736306071 1.224935090485303 465.0410018825554 101318.3695603888 340.2919466338674 9.825871190019981 0.0809752712461699 0.0809752712461699 0.03 28.72488582612964 -0.46390545265955124 0.26953815960598176 0.0 0.7339250277443508 -0.3891306076808432 141.25210786572225 5.714721962788587 -8.944090016143548 0.5290801011576761 0.19874273751371685 0.5519470283826289 19.677217475613382 8.467220125838178 19.13719837076994 0.0 0.29921428811467854 0.7714862120320549
0.6395098774193548 44.74193548387097 9.633347464543013 6328.996540916785 1.2249125854443443 505.3493640478157 101316.07071306738 340.2912121150157 9.825870599532756 0.08441265834517307 0.08441265834517307 0.04 29.95199433739398 -0.4116896653876396 0.2453908961642003 0.0 1.0570953647310117 -0.5710246200756943 141.45558238530666 5.422100629982895 -8.42432968655507 0.725851431717645 0.2834149180193749 0.7433200661255536 20.719557186757978 9.46762038482866 19.44700694247636 0.0 0.32160866514669145 0.7537269274095308
0.6382360967741936 44.67741935483871 9.619456552553766 6328.987196839473 1.2248897164008183 549.4377345126188 101313.73469373923 340.29046570365887 9.825869999486347 0.08801890548258147 0.08801890548258147 0.05 31.225599619950756 -0.3665895596163112 0.22341759010910234 0.0 1.3601379407223921 -0.7439530215341927 141.65964122889793 5.147113693732109 -7.960809814249349 0.9330461603522725 0.37809110361198656 0.9377911900129928 21.776070116795964 10.443808301419262 19.793122796998475 0.0 0.34103537564607733 0.7377319674120733
0.6369623161290322 44.61290322580645 9.605565640564517 6328.977686637892 1.2248664406755412 597.1457061575156 101311.35714334396 340.28970600618976 9.825869388760491 0.09176181080065576 0.09176181080065576 0.060000000000000005 32.53692952068588 -0.3275297772615358 0.203523746708452 0.0 1.6454840745732888 -0.9084093680575209 141.86428654069027 4.888764878303077 -7.5452399419610225 1.1508060202608121 0.4825291705767884 1.1357234715036593 22.84472853568454 11.397748224962053 20.170808019644017 0.0 0.3578934074483552 0.7233163062262281
0.6356885354838709 44.54838709677419 9.59167472857527 6328.967995153721 1.2248427211636068 648.3409651031151 101308.93427230121 340.2889318108404 9.825868766381118 0.09561559744991203 0.09561559744991203 0.07 33.87901212173047 -0.2935885639462599 0.18556623806601882 0.0 1.91516922885156 -1.0648668520181577 142.06952052843255 4.645981873700218 -7.170743090510284 1.379252467337616 0.5965066386621588 1.3374326021734004 23.92390764047534 12.331354983351334 20.57600033604544 0.0 0.37253973727559697 0.7103056012051177
0.6344147548387097 44.483870967741936 9.577783816586022 6328.958109181504 1.224818525538918 702.9156736303377 101306.46277924709 340.2881420617295 9.825868131499476 0.0995597787112567 0.0995597787112567 0.08 35.24632232364867 -0.2639865487372748 0.16938072986968125 0.0 2.1709104411058995 -1.2137740342291288 142.27534545658204 4.41769061633968 -6.831640525622028 1.6184907064988976 0.7198201767408563 1.5431936557036507 25.012304566016148 13.246438627255257 21.005230808866205 0.0 0.38528655843280035 0.6985401477012289
0.6331409741935483 44.41935483870968 9.563892904596775 6328.948017184061 1.2247938255577353 760.782667283761 101303.93977988638 340.2873358361391 9.825867483373884 0.10357811946496026 0.10357811946496026 0.09 36.63448223993352 -0.23806972332035453 0.1547985969389904 0.0 2.414168063165755 -1.3555531863042807 142.48176364030928 4.20285260672313 -6.52323860319247 1.8686129200140482 0.8522845527119878 1.7532470085908638 26.108871417218545 14.14467676889599 21.45554104213192 0.0 0.39640304610654115 0.6878763203756314
