time boreSightPitch boreSightYaw seekerPitchOffBoreSight seekerYawOffBoreSight targetPitchOffBoreSight targetYawOffBoreSight
0.001 0.0 0.0 0.0 0.0 0.6155268499077652 0.7852981533967817
0.002 0.0 0.0 1.3419186815859831e-05 1.613146184304747e-05 0.6155739927142383 0.7851981233921149
0.003 0.0 0.0 8.273693436715322e-05 0.00010429430099291028 0.6156211370875524 0.7850980733794483
0.004 0.0 0.0 0.0002555842017477252 0.0003406358899475138 0.6156682830254513 0.7849980033547816
0.005 0.0 0.0 0.0005544606744869335 0.0007833687667737324 0.6157154305256779 0.784897913314115
0.006 0.0 0.0 0.0009846229786277985 0.0014700184940640015 0.6157625795859732 0.7847978032534484
0.007 0.0 0.0 0.001547604199907449 0.0024274375385431105 0.6158097302040771 0.7846976731687818
0.008 0.0 0.0 0.002243006215039979 0.0036741984197024404 0.615856882377728 0.7845975230561152
0.009 0.0 0.0 0.003068978960446542 0.005221988597109215 0.6159040361046624 0.7844973529114487
0.010 0.0 0.0 0.0040225171288507935 0.007076744992776186 0.6159511913826159 0.7843971627307824
0.011 0.0 0.0 0.005099701678802708 0.009239627365863833 0.6159983482093224 0.7842969525101162
0.012 0.0 0.0 0.006295904488671479 0.01170785810723875 0.6160455065825143 0.7841967222454503
0.013 0.0 0.0 0.007605962148229458 0.014475446184637942 0.6160926664999229 0.7840964719327846
0.014 0.0 0.0 0.009024323060198774 0.017533810085571446 0.6161398279592774 0.7839962015681193
0.015 0.0 0.0 0.010545171396454335 0.020872312693018192 0.6161869909583061 0.7838959111474544
0.016 0.0 0.0 0.012162531004844242 0.024478719414455452 0.6162341554947355 0.7837956006667901
0.017 0.0 0.0 0.013870351977672354 0.02833958947264943 0.6162813215662909 0.7836952701221264
0.018 0.0 0.0 0.015662582254422252 0.03244060902701788 0.616328489170696 0.7835949195094635
0.019 0.0 0.0 0.01753322633300724 0.036766873706569135 0.6163756583056732 0.7834945488248015
0.020 0.0 0.0 0.019476392901088824 0.04130312718162712 0.6164228289689432 0.7833941580641407
0.021 0.0 0.0 0.02148633296779179 0.04603396156596626 0.6164700011582251 0.7832937472234811
0.022 0.0 0.0 0.023557469872869982 0.05094398470952168 0.6165171748712373 0.783193316298823
0.023 0.0 0.0 0.025684422371838583 0.05601795880197097 0.6165643501056958 0.7830928652861666
0.024 0.0 0.0 0.027862021838924795 0.06124091414805284 0.6166115268593158 0.7829923941815122
0.025 0.0 0.0 0.030085324492347777 0.06659824148659965 0.6166587051298107 0.7828919029808601
0.026 0.0 0.0 0.03234961942614781 0.0720757657981483 0.6167058849148925 0.7827913916802104
0.027 0.0 0.0 0.03465043312752198 0.07765980417291161 0.616753066212272 0.7826908602755637
0.028 0.0 0.0 0.036983531066593106 0.08333720998500985 0.616800249019658 0.78259030876292
0.029 0.0 0.0 0.03934491686514648 0.08909540533417139 0.6168474333347584 0.7824897371382799
0.030 0.0 0.0 0.041730829480703995 0.09492240346734195 0.6168946191552794 0.7823891453976437
0.031 0.0 0.0 0.04413773878111742 0.10080682267517538 0.6169418064789255 0.7822885335370119
0.032 0.0 0.0 0.04656233983154959 0.1067378929681837 0.6169889953034001 0.7821879015523848
0.033 0.0 0.0 0.04900154616929931 0.11270545667088057 0.617036185626405 0.7820872494397632
0.034 0.0 0.0 0.051452482301555406 0.11869996392649956 0.6170833774456406 0.7819865771951472
0.035 0.0 0.0 0.05391247562608211 0.12471246397714247 0.6171305707588055 0.7818858848145376
0.036 0.0 0.0 0.05637904794437795 0.13073459297220252 0.6171777655635974 0.781785172293935
0.037 0.0 0.0 0.05884990671043023 0.13675855895960756 0.617224961857712 0.7816844396293399
0.038 0.0 0.0 0.06132293613529598 0.14277712462809977 0.6172721596388439 0.7815836868167528
0.039 0.0 0.0 0.06379618824792899 0.1487835882929059 0.6173193589046859 0.7814829138521748
0.040 0.0 0.0 0.06626787399554908 0.15477176355044844 0.6173665596529297 0.7813821207316063
0.041 0.0 0.0 0.06873635445207 0.16073595796907442 0.6174137618812653 0.7812813074510482
0.042 0.0 0.0 0.0712001321903663 0.1666709511311491 0.6174609655873813 0.7811804740065011
0.043 0.0 0.0 0.07365784286320384 0.17257197229642984 0.6175081707689647 0.7810796203939662
0.044 0.0 0.0 0.07610824702825443 0.17843467791665502 0.6175553774237011 0.780978746609444
0.045 0.0 0.0 0.07855022224456121 0.1842551291961126 0.6176025855492749 0.7808778526489356
0.046 0.0 0.0 0.08098275546094358 0.19002976986202957 0.6176497951433687 0.780776938508442
0.047 0.0 0.0 0.08340493571097476 0.1957554042814546 0.6176970062036636 0.7806760041839642
0.048 0.0 0.0 0.08581594712419925 0.20142917603746294 0.6177442187278396 0.7805750496715032
0.049 0.0 0.0 0.08821506225906381 0.20704854705661657 0.6177914327135746 0.78047407496706
0.050 0.0 0.0 0.09060163575951341 0.21261127736133126 0.6178386481585457 0.7803730800666359
0.051 0.0 0.0 0.09297509833426307 0.21811540550484254 0.6178858650604281 0.780272064966232
0.052 0.0 0.0 0.0953349510553209 0.22355922973256653 0.6179330834168957 0.7801710296618497
0.053 0.0 0.0 0.09768075997033875 0.22894128990158735 0.6179803032256208 0.7800699741494902
0.054 0.0 0.0 0.10001215102174536 0.2342603501795692 0.6180275244842743 0.7799688984251548
0.055 0.0 0.0 0.10232880526432171 0.2395153825354043 0.6180747471905258 0.779867802484845
