1 input_SAM_RF_AC_Radar_#1_#2_#3.asc ' SAM3 vs AC3 ' Oct 23 2022 19:32:21
  0  0 99
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            stmarg_pitch    
realq1          realq2          wnq             zetq            realp           
gavail          gmax            wnr             stmarg_yaw      realr1          
realr2          prreal          dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            pacl            
wrcl            zrate           wnlagr          ancomx_test     alcomx_test     
dpx             dqx             drx             delx1           delx2           
delx3           delx4           miss            MISS1           MISS2           
MISS3           mode            dbt             psiptx          thtptx          
etax            zetx            aztbx           eltbx           dab             
ddab            snr_db          onax            epsic           ethtc           
psisb           thtsb           lamdqb          lamdrb          
78.9            0               0.012           0.0468852       155.913         
-160            30              -8.53774e-07    0.320633        6.41726e-05     
0.320633        4.95303e-08     -2.34179e-05    1.15116e-05     -7.20767e-07    
-0.149762       -0.0545088      -0.0913636      15.951          0.0913636       
-160            29.6488         0.000228688     1.88603e-07     299.88          
360.031         2.8994          2.8988          439.64          -0.100623       
-0.0195843      -1.263          0               0               -2.41439        
0.0368913       0.0371202       0               -0.238648       -0.0117263      
-1.2702         -0.640966       19999.5         0               1               
0               0               0               0               0               
29.8823         -159.961        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
1.93151         0.0247131       0               0               0               
-0.00209478     0.000310147     0.000994012     0.00110077      0.00240493      
0.00308879      0.00178464      0               0               0               
0               120021          19999.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
79              0               0.112           0.047322        158.817         
-160            30              -1.59726e-05    3.34087         6.10546e-06     
3.34087         2.57402e-07     -0.000297794    0.00108898      -9.37125e-06    
-1.47092        -0.53537        -0.84275        16.11           0.84275         
-160            26.6304         0.00243685      1.78045e-07     298.88          
3360.32         2.8944          2.8888          436.64          -0.0809868      
-0.0209432      -1.28266        0               0               -2.44662        
0.0355142       0.0379522       0               -0.266397       -0.0104035      
-1.29245        -0.651429       19982.6         0               1               
0               0               0               0               0               
26.8682         -159.963        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
1.9573          0.0251029       0               0               0               
-0.0018022      0.0100987       0.000849516     0.000952687     0.0119009       
0.00265172      -0.00829648     0               0               0               
0               120021          19982.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
79.1            0               0.212           0.0508314       183.231         
-160            30.0003         -5.89475e-05    5.92429         -3.00481e-05    
5.92429         -3.10139e-06    -0.000569348    0.00340085      -1.77945e-05    
-2.88357        -1.04953        -1.55243        17.3145         1.55243         
-160            24.0537         0.00500626      1.80021e-07     297.88          
6360.58         2.8894          2.8788          433.64          -0.063911       
-0.0236218      -1.38938        0               0               -2.64996        
0.039057        0.0440628       0               -0.290707       -0.00988967     
-1.40223        -0.706058       19965.6         0               1               
0               0               0               0               0               
24.2759         -159.966        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
2.11997         0.0271352       0               0               0               
-0.00168013     0.0301383       0.00072583      0.000954304     0.0318184       
0.00240596      -0.0284581      0               0               0               
0               120021          19965.5         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
79.2            0               0.312           0.0573824       233.483         
-160            30.0007         -0.000131012    7.73901         -9.20048e-05    
7.73901         -1.23894e-05    -0.00087821     0.00642794      -2.63577e-05    
-4.46989        -1.62691        -2.2712         19.5539         2.2712          
-160            22.2478         0.00836863      1.9547e-07      296.88          
9360.85         2.8844          2.8688          430.64          -0.0577163      
-0.0279138      -1.58573        0               0               -3.0291         
0.0482812       0.0566456       0               -0.30636        -0.0103351      
-1.60146        -0.805896       19948.4         0               1               
0               0               0               0               0               
22.4413         -159.969        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
2.42328         0.0315685       0               0               0               
-0.00158035     0.051241        0.000579486     0.00100086      0.0528214       
0.00215983      -0.0496607      0               0               0               
0               120021          19948.4         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
79.3            0               0.412           0.0669429       317.737         
-160            30.0015         -0.000238258    8.76156         -0.00018633     
8.76156         -2.83823e-05    -0.00126852     0.00974884      -3.51964e-05    
-6.31257        -2.29759        -3.05024        22.8172         3.05024         
-160            21.2333         0.0129489       2.30023e-07     295.88          
12361.1         2.8794          2.8588          427.64          -0.0611999      
-0.0336143      -1.87488        0               0               -3.59269        
0.0650244       0.0779629       0               -0.312781       -0.0118461      
-1.89314        -0.952493       19931           0               1               
0               0               0               0               0               
21.3943         -159.973        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
2.87415         0.0382637       0               0               0               
-0.00149203     0.0671434       0.000437201     0.00105483      0.0686354       
0.00192923      -0.0656514      0               0               0               
0               120021          19931           0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
79.4            0               0.512           0.0795          448.071         
-160            30.0027         -0.000391538    9.15715         -0.000322857    
9.15715         -5.13803e-05    -0.00179444     0.0129358       -4.42357e-05    
-8.49483        -3.09186        -3.94122        27.1001         3.94122         
-160            20.844          0.0191691       2.99056e-07     294.88          
15361.5         2.8744          2.8488          424.64          -0.0639241      
-0.0404717      -2.2608         0               0               -4.35449        
0.0923102       0.111461        0               -0.312361       -0.0144884      
-2.28194        -1.14822        19913.2         0               1               
0               0               0               0               0               
20.9745         -159.976        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
3.48359         0.0462712       0               0               0               
-0.00140332     0.0753173       0.000315513     0.0010878       0.0767207       
0.00171883      -0.073914       0               0               0               
0               120021          19913.2         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               
79.5            0               0.612           0.0950611       640.565         
-160            30.0041         -0.000607609    9.13181         -0.00051754     
9.13181         -8.21368e-05    -0.0025231      0.0155887       -5.31675e-05    
-11.1004        -4.0402         -4.99629        32.405          4.99629         
-160            20.8741         0.0274515       4.35579e-07     293.88          
18361.9         2.8694          2.8388          421.64          -0.0653062      
-0.048588       -2.7498         0               0               -5.33359        
0.134499        0.161922        0               -0.308197       -0.0182875      
-2.77431        -1.3963         19895           0               1               
0               0               0               0               0               
20.9787         -159.979        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
4.26687         0.0556028       0               0               0               
