1 input19_3_3.asc: Ascent frome Cape, glidelsope and seeker intercept ' Hypersonic Vehicle ' Nov 30 2022 22:00:56
  0  0 96
time            vmach           pdynmc          psibd           psibdx          
thtbdx          phibdx          alppx           alphax          betax           
alphaix         betaix          ppx             qqx             rrx             
lonx            latx            alt             dvbe            dvbi            
psivdx          thtvdx          dbi             ayx             anx             
throttle        vmass           fmassr          thrustx         roll_count      
pitch_count     yaw_count       stmarg          gavail_pos      gmax            
gavail_neg      gminx           wnp             azabx           elabx           
dab             ddab            semi_major      semi_minor      eaz             
eel             edab            eddab           RICI1           RICI2           
RICI3           ESBI1           ESBI2           ESBI3           aycomx          
azcomx          tgoc            SBTHC1          SBTHC2          SBTHC3          
UTBC1           UTBC2           UTBC3           lamd            SBTL1           
SBTL2           SBTL3           delacx          delecx          delrcx          
alcomx          ancomx          phicomx         delax           delex           
delrx           miss            MISS_I1         MISS_I2         MISS_I3         
event           dbt             MISS_H1         MISS_H2         MISS_H3         
MISS_L1         MISS_L2         MISS_L3         SXH1            SXH2            
SXH3            std_pos         std_ucbias      URIC1           URIC2           
URIC3           
0               0.456505        10229.1         0.159376        9.13157         
31.8613         80.2968         45.5316         -38.221         26.9172         
-71.2293        18.7549         -1.86857        0.147848        0.656972        
-75.5825        30.1857         3000.1          149.748         522.582         
47.4572         4.00383         6.37579e+06     -2.24593        -7.36928        
0.05            136077          81646           -0.459121       0               
0               0               0.0705902       8.42215         2.61816         
5.28794         -0.516055       1.33352         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               -20             20              0.00700948      
0               0               0.00376298      0               0               
0               0               0               0               0               
424002          5.50815e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
1               0.532869        13915.4         0.557438        31.9388         
0.802517        -20.8714        0.992965        -2.55357        3.88215         
16.7649         39.1954         -64.6196        -39.6913        21.1924         
-75.5815        30.1868         3012.66         175.605         522.507         
34.6438         4.49595         6.3758e+06      -0.288886       -0.681755       
2               135927          81496.1         7733.26         0               
0               0               0.0233367       3.67234         3               
-0.0412052      -0.713546       1.23445         0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               0               20              -20             20              
0               0               0.0333473       11              -11             
20              0               0               0               0               
424002          5.50147e+06     0               0               0               
0               0               0               0               0               
0               0               0               0               0               
0               
2               0.628722        19377.9         0.876266        50.2063         
-15.4586        29.0497         12.7706         -3.06598        -12.891         
-22.6145        14.4349         87.7815         -6.14284        -3.81203        
-75.5803        30.1882         3009.87         206.944         558.803         
40.4434         -6.48966        6.3758e+06      1.90348         -1.10195        
2               135794          81363           6228.32         0               
