XCG MASS TMOI THRUST RHO Q P A G MACH BETA TOF POS_0X POS_0Y VEL_0X VEL_0Y SPEED UDOT_0 WDOT_0 ALPHA T_0 TDOT_0
0.644605 45.0 12.926893866 5000.0 1.225 122.50000000000001 101325.0 340.2940650819523 9.825872893069327 0.041558572643120094 0.041558572643120094 0.0 0.0 0.0 10.0 10.0 14.142135623730951 0.0 0.0 -6.2803698347351e-17 0.7853981633974483 0.0
0.644605 45.0 12.926893866 5000.0 1.225 122.50000000000001 101325.0 340.2940650819523 9.825872893069327 0.041558572643120094 0.041558572643120094 0.0 0.0 0.0 10.0 10.0 14.142135623730951 104.15624254554355 -6.947941353766403 -6.2803698347351e-17 0.7853981633974483 0.0
0.6433312193548387 44.935483870967744 12.908360684830107 5006.4466423254 1.2249878350388033 141.238215463519 101323.75735554352 340.29366806235913 9.825872573899035 0.044624293421060245 0.044624293421060245 0.01 0.10393111318865964 0.1034409693836836 10.786523038978338 10.688606384269761 15.185367486770373 104.45817822371959 -6.898328874086566 0.004557453651750641 0.7853961112951228 -0.0006119719778365153
0.6420574387096775 44.87096774193548 12.889827503660214 5012.892953218361 1.2249748589006342 161.37467406052326 101322.43185297742 340.2932445650976 9.825872233443347 0.04769971360760758 0.04769971360760758 0.02 0.21573642767381562 0.21378040015470887 11.574844859446117 11.379689618336043 16.23189358423444 104.76098111949963 -6.849002464447979 0.008485200597164557 0.785381752275802 -0.0024542252508898805
0.6407836580645161 44.806451612903224 12.871294322490321 5019.338931501407 1.2249610686976689 182.92091674532952 101321.02319793268 340.29279449517514 9.82587187162598 0.05078468769355967 0.05078468769355967 0.030000000000000002 0.3354340306521451 0.33104301694561034 12.364986963738962 12.073239318396382 17.28166688293426 105.0647392220803 -6.800215442280719 0.011882247627123095 0.7853428103486423 -0.005521467509993846
0.6395098774193548 44.74193548387097 12.85276114132043 5025.784576005438 1.224946461562166 205.88861540614093 101319.53109813354 340.292317758204 9.825871488371128 0.05387911651550955 0.05387911651550955 0.04 0.46304228029375416 0.4552533850843498 13.156982115258959 12.769233940570889 18.334653359424923 105.36954001870468 -6.752248265121918 0.01482364118580521 0.7852670858683662 -0.009803501540557853
0.6382360967741936 44.67741935483871 12.834227960150537 5032.229885575133 1.2249310346597118 230.28953254735222 101317.95526475114 340.2918142608332 9.825871083603849 0.056982929905639926 0.056982929905639926 0.049999999999999996 0.5985799194656192 0.5864357980064587 13.95087454561237 13.467640597475272 19.39082885928756 105.67547016016829 -6.705407494926637 0.017366885899781505 0.7851425076981522 -0.015284630716544956
0.6369623161290322 44.61290322580645 12.815694778980644 5038.674859074468 1.2249147852026776 256.1355288575932 101316.29541377837 340.2912839111874 9.825870657250377 0.06009608024085689 0.06009608024085689 0.05999999999999999 0.7420661912813002 0.724614163031775 14.746720112996147 14.168414913748213 20.45017690043702 105.98261509207461 -6.660024443712867 0.019556448252731732 0.784957191296179 -0.021943063462996914
0.6356885354838709 44.54838709677419 12.797161597810751 5045.119495392249 1.224897710463795 283.43857061464735 101314.55126741712 340.29072661930934 9.825870209238497 0.0632185378202606 0.0632185378202606 0.06999999999999999 0.8935209559372792 0.8698118859301198 15.544586400840048 14.871500928064524 21.512687099165586 106.29105865402107 -6.616453442720676 0.021426987030954244 0.7846995026794353 -0.02975033001884469
0.6344147548387097 44.483870967741936 12.778628416640862 5051.563793447708 1.2248798077898315 312.2107367741556 101312.72255547534 340.29014229760594 9.825869739497897 0.06635028747021618 0.06635028747021618 0.08 1.0529648081865404 1.0220517547757044 16.344552745949684 15.576831049007378 22.578354014286596 106.60088264676686 -6.575069694295466 0.023005718189309472 0.7843581280864692 -0.03867072394973442
0.6331409741935483 44.41935483870968 12.760095235470969 5058.007752196093 1.2248610746152722 342.46422557146343 101310.80901676517 340.28953086129434 9.82586924796054 0.06949132598454669 0.06949132598454669 0.09000000000000001 1.2204191946931082 1.1813558236640145 17.14671018566209 16.28432607210323 23.64717627569239 106.91216636793156 -6.536266673443583 0.024314179459546163 0.7839221490361207 -0.04866078048943156
0.631867193548387 44.354838709677416 12.741562054301076 5064.451370634238 1.2248415084759456 374.21136045239837 101308.81040049478 340.28889222884635 9.825868734560999 0.07264166013764677 0.07264166013764677 0.10000000000000002 1.3959065304076446 1.3477452969382446 17.95116131388427 16.99389526530186 24.719155908022916 107.22498611724154 -6.500453053086562 0.025369571125685914 0.7833811223575484 -0.05966880370630174
0.6305934129032258 44.29032258064516 12.723028873131183 5070.894647806063 1.2248211070224966 407.4645951403303 101306.72646764482 340.28822632242793 9.825868199236826 0.07580130509200851 0.07580130509200851 0.11000000000000003 1.5794503130050017 1.521240414645423 18.75802003638706 17.705436530175454 25.7942977886503 107.53941467280232 -6.468049134338723 0.0261857925264236 0.7827251646456364 -0.0716344545515226
0.6293196322580645 44.225806451612904 12.704495691961291 5077.3375828079925 1.2247998680336214 442.23651764473647 101304.55699232074 340.28753306833124 9.825867641928902 0.07897028307682954 0.07897028307682954 0.12000000000000004 1.7710752343314082 1.7018603400152041 19.567411216409596 18.4188366460875 26.872609197979415 107.85552074036232 -6.439482771124311 0.026774256673450812 0.7819450404740931 -0.08448841194561904
0.6280458516129033 44.16129032258065 12.685962510791398 5083.780174794217 1.22477778942897 478.5398530218041 101302.30176307047 340.2868123973952 9.825867062581766 0.08214862225172896 0.08214862225172896 0.13000000000000003 1.9708072877236649 1.8896230498266862 20.379470202522615 19.13397160452083 27.954099432786535 108.17336837805844 -6.415184787384747 0.027144540590728787 0.78103225357612 -0.09815211912409508
