tof posE posN posU tgtE tgtN tgtU normComm normAch sideComm sideAch
0.0 0.0 0.0 10.0 3000.0 3000.0 3000.0 0.0 0.0 0.0 0.0
0.01 0.10984626044267627 0.0921719566236531 10.204788011072248 2999.5 2999.5 2999.5 -0.6834005645944733 -0.0 0.14291402161773262 -0.0
0.02 0.2390273493458479 0.20056776067738386 10.444639645147868 2999.0 2999.0 2999.0 -0.8263921311148651 -1.0811848698948513e-06 0.17403923420184353 2.2609942963783647e-07
0.03 0.3875960140353468 0.32523165378255303 10.719505636942452 2998.5 2998.5 2998.5 -0.9775168444708934 -7.241500195702642e-06 0.20710031555092778 1.5169005938510832e-06
0.04 0.555598369318351 0.46620225210297217 11.029342507258466 2998.0 2998.0 2998.0 -1.1368254074132587 -2.4374565950326114e-05 0.24210550062868808 5.116952911834728e-06
0.05 0.7430755026547389 0.6235138646400293 11.37411115752535 2997.5 2997.5 2997.5 -1.3043568761797635 -5.896287513656845e-05 0.2790631127321651 1.2408698335094889e-05
0.060000000000000005 0.9500645602244708 0.7971973948137852 11.753775911733504 2997.0 2997.0 2997.0 -1.48014286198957 -0.000118952529439189 0.31798136556213746 2.5097731570557233e-05
0.07 1.1765995347540628 0.9872809934344045 12.168303819385278 2996.5 2996.5 2996.5 -1.6642097669919693 -0.00021409208885903673 0.35886839984613095 4.528740967843082e-05
0.08 1.4227118604911468 1.1937905493715975 12.617664128208691 2996.0 2996.0 2996.0 -1.8565801823076615 -0.0003561170462370018 0.40173235343084857 7.552166881890775e-05
0.09 1.688430875598878 1.4167500686292724 13.101827873858362 2995.5 2995.5 2995.5 -2.057273842619701 -0.0005589144195385241 0.44658142646204063 0.00011882388912459912
0.09999999999999999 1.9737841901751363 1.6561819740653771 13.620767553033522 2995.0 2995.0 2995.0 -2.2663083015162977 -0.0008386863119169473 0.4934239388612581 0.00017873570832753285
0.10999999999999999 2.278797985277353 1.9121073471555983 14.174456857664659 2994.5 2994.5 2994.5 -2.4836994187767374 -0.001214112987443608 0.542268381090938 0.0002593558948218895
0.11999999999999998 2.6034972603530164 2.184546126459911 14.762870454816632 2994.0 2994.0 2994.0 -2.7094617165703982 -0.0017065145729326292 0.5931234592408505 0.0003653790949108869
0.12999999999999998 2.947906041320255 2.473517273104659 15.385983801482555 2993.5 2993.5 2993.5 -2.943608641837097 -0.002340010583212774 0.645998135293662 0.0005021342887736457
0.13999999999999999 3.312047558112713 2.7790389107046463 16.043772986458727 2993.0 2993.0 2993.0 -3.186152759972322 -0.00314167667504869 0.7009016632837921 0.0006756228354835749
0.15 3.6959443981614113 3.101128445179695 16.736214593552944 2992.5 2992.5 2992.5 -3.43710589718701 -0.004141698065054462 0.757843621945699 0.0008925559958330877
0.16 4.09961864065106 3.4398026685450396 17.463285581820532 2992.0 2992.0 2992.0 -3.696479243818936 -0.005373519089795789 0.8168339443474485 0.0011603918330370074
0.17 4.523091975222937 3.7950778497752613 18.22496317955181 2991.5 2991.5 2991.5 -3.9642834274434695 -0.0068739883862412605 0.8778829449205182 0.0014873713936221452
0.18000000000000002 4.966385807950702 4.166969815130617 19.02122478948256 2991.0 2991.0 2991.0 -4.240528562269213 -0.008683499212984985 0.9410013442251822 0.001882554082241015
0.19000000000000003 5.429521356791598 4.55549401981023 19.852047903251716 2990.5 2990.5 2990.5 -4.525224279644654 -0.010846124397729789 1.006200291731117 0.002355852138998041
0.20000000000000004 5.912519738248385 4.960665612403991 20.71741002354477 2990.0 2990.0 2990.0 -4.818379743314714 -0.013409745418167092 1.0734913868433442 0.0029180641349287515
0.21000000000000005 6.415402046622837 5.382499493317019 21.617288592676047 2989.5 2989.5 2989.5 -5.12000365220369 -0.016426175126102567 1.1428866983625154 0.0035809074042949507
0.22000000000000006 6.938189426969343 5.821010368111535 22.551660926605344 2989.0 2989.0 2989.0 -5.430104232865381 -0.01995127361925416 1.2143987825347782 0.004357049333616069
0.23000000000000007 7.480903142645484 6.276212796532995 23.52050415357269 2988.5 2988.5 2988.5 -5.748689223266989 -0.024045056739460224 1.2880406998185208 0.0052601374241467895
0.24000000000000007 8.043564638190402 6.748121237847518 24.523795156683263 2988.0 2988.0 2988.0 -6.075765849215967 -0.028771796731296057 1.363826030472369 0.0063048280589185325
0.25000000000000006 8.626195598129991 7.236750093006714 25.561510519892003 2987.5 2987.5 2987.5 -6.411340794466657 -0.0342001145268129 1.4417688890497073 0.0075068138928777355
0.26000000000000006 9.228818002202672 7.742113744067236 26.633626476931898 2987.0 2987.0 2987.0 -6.755420165335117 -0.04040306317470212 1.5218839378696203 0.008882849798325156
