1 input_9_1_1 AGM6 Test Case.asc  Nov 30 2022 21:05:34
  0  0 53
time            vmach_m1        psiblx_m1       thtblx_m1       phiblx_m1       
SBEL1_m1        SBEL2_m1        SBEL3_m1        VBEL1_m1        VBEL2_m1        
VBEL3_m1        mseek_m1        mach_t1         SAEL1_t1        SAEL2_t1        
SAEL3_t1        VAEL1_t1        VAEL2_t1        VAEL3_t1        psivlx_t1       
thtvlx_t1       alt_t1          aax_t1          alx_t1          anx_t1          
mach_a1         SAEL1_a1        SAEL2_a1        SAEL3_a1        VAEL1_a1        
VAEL2_a1        VAEL3_a1        psivlx_a1       thtvlx_a1       alt_a1          
STCEL11_a1      STCEL12_a1      STCEL13_a1      VTCEL11_a1      VTCEL12_a1      
VTCEL13_a1      STCEL21_a1      STCEL22_a1      STCEL23_a1      VTCEL21_a1      
VTCEL22_a1      VTCEL23_a1      STCEL31_a1      STCEL32_a1      STCEL33_a1      
VTCEL31_a1      VTCEL32_a1      VTCEL33_a1      
0               0               0               0               0               
0               0               0               
12              1.05191         -0.213969       10.0544         -0.652607       
3671.03         55.709          -6793.19        328.118         14.814          
-1.25165        2               0.0147098       33007           9940.55         
-100            1.16751         -4.86181        0               -76.4968        
-0              100             0               0.01            1               
0.943502        3526.68         0               -6943.49        294.842         
0               4.92899         0               -0.957746       6943.49         
32995.8         9995.28         -127.283        1.40669         -5.48263        
-0.293187       0               0               0               0               
0               0               0               0               0               
0               0               0               
13              1.06238         0.189022        10.3278         -0.495985       
4000.81         71.6405         -6796.37        331.417         17.0576         
-5.07971        2               0.0147098       33008.3         9935.7          
-100            1.26275         -4.83794        0               -75.3716        
-0              100             0               0.01            1               
0.943964        3821.61         0               -6938.56        295.006         
0               4.93173         0               -0.957746       6938.56         
33002.2         9980.36         -138.622        0.87668         -5.05145        
-0.429139       0               0               0               0               
0               0               0               0               0               
0               0               0               
14              1.07272         0.591547        10.5813         -0.353525       
4333.83         89.8418         -6803.28        334.608         19.3533         
-8.69423        2               0.0147099       33009.6         9930.87         
-100            1.35752         -4.81222        0               -74.2463        
-0              100             0               0.01            1               
0.944426        4116.7          0               -6933.63        295.17          
0               4.93447         0               -0.957746       6933.63         
33012.6         9941.11         -132.589        0.792608        -4.75831        
-0.183492       0               0               0               0               
0               0               0               0               0               
0               0               0               
15              1.08291         0.983438        10.8253         -0.223235       
4669.99         110.362         -6813.7         337.691         21.6917         
